params;mean_test_score;std_test_score;rank_test_score
{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100};-0.8587637738458579;0.21329115159806464;10
{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200};-0.8416440015863443;0.22328207926981858;7
{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100};-0.8793096742450099;0.2312593592535017;18
{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 200};-0.8686982772900089;0.23835983325278046;13
{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 100};-0.83629833350012;0.22505844853104898;6
{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 200};-0.8282540655869962;0.22995461659759975;1
{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 100};-0.863786107226107;0.20069595186394135;11
{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 200};-0.8546554079254076;0.21587699600169968;8
{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 100};-0.8784284887889887;0.2266308895242199;16
{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 200};-0.870253753154253;0.2343536235616436;14
{'max_depth': 20, 'min_samples_leaf': 4, 'n_estimators': 100};-0.8361933216469224;0.22501667324086616;4
{'max_depth': 20, 'min_samples_leaf': 4, 'n_estimators': 200};-0.8283431003645315;0.22996600550555069;2
{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100};-0.863786107226107;0.20069595186394135;11
{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200};-0.8546554079254076;0.21587699600169968;8
{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100};-0.8784284887889887;0.2266308895242199;16
{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 200};-0.870253753154253;0.2343536235616436;14
{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 100};-0.8361933216469224;0.22501667324086616;4
{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 200};-0.8283431003645315;0.22996600550555069;2
