LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/1/2021;"8";"3";"14";"4";"75";"21";"12";"18";"0";"1014";"0";"0";""
Bari;2/1/2021;"11";"5";"15";"8";"80";"19";"19";"41";"0";"1011";"0";"0";"pioggia "
Bari;3/1/2021;"8";"4";"14";"4";"77";"21";"12";"48";"0";"1012";"0";"0";"pioggia "
Bari;4/1/2021;"8";"5";"13";"4";"74";"21";"9";"18";"0";"1010";"0";"0";""
Bari;5/1/2021;"9";"3";"14";"3";"71";"19";"12";"22";"0";"1012";"0";"0";""
Bari;6/1/2021;"11";"8";"15";"5";"70";"19";"11";"24";"0";"1013";"0";"0";"pioggia "
Bari;7/1/2021;"10";"8";"11";"8";"89";"14";"5";"11";"0";"1013";"0";"0";"pioggia "
Bari;8/1/2021;"8";"7";"10";"7";"93";"12";"12";"17";"0";"1009";"0";"0";"pioggia nebbia "
Bari;9/1/2021;"8";"7";"10";"7";"91";"12";"9";"17";"0";"1013";"0";"0";"pioggia "
Bari;10/1/2021;"8";"7";"9";"7";"98";"11";"9";"18";"0";"1011";"0";"0";"pioggia temporale "
Bari;11/1/2021;"7";"6";"9";"5";"84";"18";"12";"18";"0";"1013";"0";"0";"pioggia "
Bari;12/1/2021;"7";"4";"9";"4";"82";"21";"14";"18";"0";"1013";"0";"0";""
Bari;13/1/2021;"7";"3";"11";"2";"72";"19";"12";"24";"0";"1012";"0";"0";""
Bari;14/1/2021;"10,7";"5,5";"15,3";"4,4";"66";"0";"16";"0";"63";"0";"1010";"0";""
Bari;15/1/2021;"7";"4";"10";"2";"65";"20";"9";"15";"0";"1013";"0";"0";"pioggia "
Bari;16/1/2021;"6";"4";"7";"2";"53";"21";"17";"24";"0";"1015";"0";"0";"pioggia "
Bari;17/1/2021;"5";"1";"7";"1";"60";"20";"11";"18";"0";"1016";"0";"0";"pioggia "
Bari;18/1/2021;"5";"2";"7";"2";"71";"18";"12";"18";"0";"1021";"0";"0";"pioggia "
Bari;19/1/2021;"6";"3";"11";"2";"75";"19";"11";"18";"0";"1026";"0";"0";"pioggia "
Bari;20/1/2021;"10";"4";"15";"4";"69";"20";"13";"17";"0";"1024";"0";"0";""
Bari;21/1/2021;"11";"7";"17";"5";"66";"21";"14";"24";"0";"1020";"0";"0";""
Bari;22/1/2021;"14";"10";"17";"7";"62";"19";"15";"30";"0";"1013";"0";"0";""
Bari;23/1/2021;"12";"9";"14";"6";"68";"18";"17";"31";"0";"1005";"0";"0";"pioggia "
Bari;24/1/2021;"11";"7";"15";"6";"70";"21";"17";"26";"0";"1000";"0";"0";"pioggia "
Bari;25/1/2021;"11";"4";"14";"4";"63";"22";"19";"35";"0";"1004";"0";"0";"pioggia "
Bari;26/1/2021;"8";"6";"9";"4";"69";"18";"21";"35";"0";"1009";"0";"0";"pioggia "
Bari;27/1/2021;"6";"4";"9";"1";"66";"20";"19";"28";"0";"1016";"0";"0";"pioggia "
Bari;28/1/2021;"7";"-1";"12";"2";"54";"18";"10";"18";"0";"1015";"0";"0";""
Bari;29/1/2021;"12";"4";"18";"7";"73";"21";"14";"35";"0";"1007";"0";"0";""
Bari;30/1/2021;"13";"6";"17";"6";"68";"19";"11";"28";"0";"1004";"0";"0";""
Bari;31/1/2021;"11";"7";"14";"8";"79";"20";"13";"28";"0";"997";"0";"0";"pioggia "
