LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/5/2021;"22";"15";"27";"14";"61";"20";"13";"33";"0";"1011";"0";"0";"pioggia "
Bari;2/5/2021;"22";"17";"28";"7";"41";"20";"21";"35";"0";"1013";"0";"0";""
Bari;3/5/2021;"17";"11";"20";"6";"48";"21";"13";"22";"0";"1018";"0";"0";""
Bari;4/5/2021;"14";"7";"20";"6";"61";"18";"11";"21";"0";"1018";"0";"0";"pioggia "
Bari;5/5/2021;"18";"13";"22";"12";"70";"20";"10";"13";"0";"1012";"0";"0";"pioggia "
Bari;6/5/2021;"19";"10";"25";"8";"52";"21";"13";"22";"0";"1014";"0";"0";""
Bari;7/5/2021;"20";"14";"27";"8";"45";"19";"13";"22";"0";"1012";"0";"0";""
Bari;8/5/2021;"18";"13";"20";"11";"62";"21";"13";"22";"0";"1016";"0";"0";""
Bari;9/5/2021;"16";"9";"21";"8";"59";"18";"9";"13";"0";"1019";"0";"0";""
Bari;10/5/2021;"19";"10";"25";"9";"52";"20";"13";"26";"0";"1017";"0";"0";""
Bari;11/5/2021;"21";"11";"29";"10";"54";"22";"13";"26";"0";"1012";"0";"0";""
Bari;12/5/2021;"20";"16";"23";"9";"51";"19";"14";"26";"0";"1010";"0";"0";""
Bari;13/5/2021;"17";"14";"21";"9";"60";"20";"13";"26";"0";"1009";"0";"0";"pioggia "
Bari;14/5/2021;"18";"14";"22";"6";"48";"20";"17";"28";"0";"1011";"0";"0";""
Bari;15/5/2021;"17";"12";"20";"11";"72";"22";"12";"22";"0";"1010";"0";"0";"pioggia "
Bari;16/5/2021;"19";"12";"24";"9";"55";"20";"10";"21";"0";"1011";"0";"0";""
Bari;17/5/2021;"22";"17";"28";"11";"49";"20";"12";"28";"0";"1008";"0";"0";""
Bari;18/5/2021;"20";"15";"23";"7";"46";"19";"13";"21";"0";"1013";"0";"0";""
Bari;19/5/2021;"21";"13";"27";"9";"50";"20";"18";"31";"0";"1011";"0";"0";""
Bari;20/5/2021;"17";"13";"20";"8";"55";"20";"22";"31";"0";"1015";"0";"0";""
Bari;21/5/2021;"18";"13";"22";"6";"45";"20";"13";"18";"0";"1020";"0";"0";""
Bari;22/5/2021;"21";"11";"28";"6";"40";"19";"12";"22";"0";"1016";"0";"0";""
Bari;23/5/2021;"23";"16";"28";"13";"57";"20";"12";"24";"0";"1016";"0";"0";""
Bari;24/5/2021;"25";"16";"33";"14";"52";"19";"13";"30";"0";"1015";"0";"0";""
Bari;25/5/2021;"22";"18";"25";"13";"59";"19";"11";"21";"0";"1017";"0";"0";""
Bari;26/5/2021;"21";"15";"25";"11";"54";"21";"11";"21";"0";"1016";"0";"0";""
Bari;27/5/2021;"19";"13";"23";"9";"54";"20";"9";"15";"0";"1014";"0";"0";""
Bari;28/5/2021;"20";"14";"25";"10";"54";"20";"13";"22";"0";"1016";"0";"0";""
Bari;29/5/2021;"18";"12";"23";"8";"53";"18";"9";"17";"0";"1016";"0";"0";""
Bari;30/5/2021;"18";"16";"20";"13";"72";"19";"11";"18";"0";"1016";"0";"0";"pioggia "
Bari;31/5/2021;"18";"13";"21";"10";"61";"20";"16";"24";"0";"1016";"0";"0";""
