LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/10/2021;"21";"17";"24";"15";"70";"19";"12";"17";"0";"1021";"0";"0";"pioggia "
Bari;2/10/2021;"20";"15";"24";"14";"72";"19";"9";"18";"0";"1019";"0";"0";""
Bari;3/10/2021;"20";"14";"25";"14";"69";"21";"14";"30";"0";"1019";"0";"0";""
Bari;4/10/2021;"22";"13";"28";"14";"64";"20";"12";"26";"0";"1020";"0";"0";""
Bari;5/10/2021;"22";"16";"29";"14";"63";"19";"11";"22";"0";"1018";"0";"0";""
Bari;6/10/2021;"21";"14";"26";"13";"60";"21";"9";"17";"0";"1014";"0";"0";"pioggia "
Bari;7/10/2021;"19";"16";"22";"12";"66";"20";"9";"17";"0";"1007";"0";"0";"pioggia temporale "
Bari;8/10/2021;"16";"12";"20";"13";"83";"19";"10";"15";"0";"1010";"0";"0";"pioggia temporale "
Bari;9/10/2021;"16";"14";"17";"15";"96";"15";"10";"17";"0";"1015";"0";"0";"pioggia "
Bari;10/10/2021;"13";"11";"15";"11";"90";"12";"15";"21";"0";"1014";"0";"0";"pioggia "
Bari;11/10/2021;"13";"11";"17";"8";"73";"21";"14";"21";"0";"1013";"0";"0";""
Bari;12/10/2021;"14";"12";"18";"10";"75";"20";"16";"24";"0";"1013";"0";"0";"pioggia "
Bari;13/10/2021;"15";"13";"18";"8";"61";"19";"13";"17";"0";"1013";"0";"0";""
Bari;14/10/2021;"15";"15";"16";"5";"49";"18";"18";"24";"0";"1016";"0";"0";""
Bari;15/10/2021;"14";"13";"15";"4";"53";"20";"20";"24";"0";"1011";"0";"0";"pioggia "
Bari;16/10/2021;"15";"12";"17";"9";"68";"18";"13";"21";"0";"1014";"0";"0";""
Bari;17/10/2021;"15";"12";"19";"11";"76";"21";"8";"13";"0";"1018";"0";"0";""
Bari;18/10/2021;"16";"12";"19";"12";"83";"19";"9";"11";"0";"1022";"0";"0";""
Bari;19/10/2021;"15";"11";"19";"11";"80";"22";"9";"13";"0";"1027";"0";"0";""
Bari;20/10/2021;"14";"8";"20";"9";"77";"20";"9";"15";"0";"1026";"0";"0";""
Bari;21/10/2021;"17";"11";"23";"12";"75";"19";"11";"18";"0";"1020";"0";"0";""
Bari;22/10/2021;"19";"15";"24";"12";"68";"20";"13";"18";"0";"1017";"0";"0";""
Bari;23/10/2021;"18";"14";"21";"14";"82";"20";"8";"15";"0";"1019";"0";"0";""
Bari;24/10/2021;"17";"14";"18";"15";"86";"17";"8";"17";"0";"1023";"0";"0";"pioggia "
Bari;25/10/2021;"17";"15";"19";"12";"72";"21";"11";"18";"0";"1021";"0";"0";""
Bari;26/10/2021;"15";"10";"19";"10";"78";"16";"7";"13";"0";"1020";"0";"0";"pioggia "
Bari;27/10/2021;"15";"12";"19";"11";"76";"21";"10";"17";"0";"1021";"0";"0";"pioggia "
Bari;28/10/2021;"13";"8";"18";"10";"80";"20";"10";"13";"0";"1021";"0";"0";""
Bari;29/10/2021;"14";"9";"17";"12";"87";"12";"9";"11";"0";"1018";"0";"0";""
Bari;30/10/2021;"14";"10";"20";"12";"87";"13";"10";"18";"0";"1018";"0";"0";"nebbia "
Bari;31/10/2021;"13";"9";"18";"11";"90";"14";"7";"11";"0";"1017";"0";"0";""
