LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/2/2022;"10";"7";"11";"4";"63";"20";"23";"30";"0";"1003";"0";"0";"pioggia "
Bari;2/2/2022;"9";"5";"12";"2";"57";"21";"16";"22";"0";"1010";"0";"0";""
Bari;3/2/2022;"10";"3";"12";"0";"46";"19";"18";"24";"0";"1022";"0";"0";""
Bari;4/2/2022;"10";"3";"18";"4";"56";"20";"11";"22";"0";"1019";"0";"0";""
Bari;5/2/2022;"10";"4";"14";"7";"85";"19";"8";"15";"0";"1018";"0";"0";""
Bari;6/2/2022;"11";"8";"14";"8";"82";"19";"10";"17";"0";"1022";"0";"0";""
Bari;7/2/2022;"11";"7";"16";"5";"62";"20";"20";"33";"0";"1012";"0";"0";"pioggia "
Bari;8/2/2022;"10";"8";"11";"1";"43";"19";"27";"35";"0";"1025";"0";"0";"pioggia "
Bari;9/2/2022;"8";"3";"16";"2";"53";"20";"12";"17";"0";"1030";"0";"0";""
Bari;10/2/2022;"9";"1";"16";"4";"62";"20";"8";"15";"0";"1027";"0";"0";""
Bari;11/2/2022;"8";"2";"14";"6";"78";"18";"9";"15";"0";"1023";"0";"0";""
Bari;12/2/2022;"10";"7";"13";"7";"83";"17";"10";"17";"0";"1025";"0";"0";""
Bari;13/2/2022;"8";"5";"13";"5";"78";"21";"12";"54";"0";"1025";"0";"0";""
Bari;14/2/2022;"10";"4";"18";"5";"71";"20";"10";"18";"0";"1021";"0";"0";""
Bari;15/2/2022;"12";"6";"18";"5";"64";"19";"13";"30";"0";"1017";"0";"0";"pioggia "
Bari;16/2/2022;"11";"8";"15";"7";"78";"19";"12";"22";"0";"1014";"0";"0";"pioggia "
Bari;17/2/2022;"10";"6";"14";"6";"77";"19";"10";"15";"0";"1013";"0";"0";"pioggia "
Bari;18/2/2022;"10";"3";"16";"6";"78";"21";"9";"18";"0";"1016";"0";"0";""
Bari;19/2/2022;"12";"4";"18";"7";"74";"21";"9";"15";"0";"1016";"0";"0";""
Bari;20/2/2022;"13";"10";"17";"10";"81";"19";"9";"18";"0";"1017";"0";"0";""
Bari;21/2/2022;"13";"7";"18";"6";"67";"19";"19";"31";"0";"1011";"0";"0";""
Bari;22/2/2022;"11";"8";"14";"4";"63";"18";"21";"35";"0";"1007";"0";"0";"pioggia "
Bari;23/2/2022;"12";"10";"14";"5";"59";"20";"18";"26";"0";"1021";"0";"0";""
Bari;24/2/2022;"10";"3";"14";"3";"64";"21";"10";"15";"0";"1024";"0";"0";""
Bari;25/2/2022;"9";"3";"14";"4";"64";"19";"7";"11";"0";"1018";"0";"0";""
Bari;26/2/2022;"7";"4";"13";"4";"78";"21";"13";"26";"0";"1013";"0";"0";"pioggia temporale "
Bari;27/2/2022;"6";"3";"10";"6";"94";"14";"15";"30";"0";"1014";"0";"0";"pioggia "
Bari;28/2/2022;"8";"4";"11";"3";"74";"17";"15";"30";"0";"1020";"0";"0";"pioggia "
