LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/11/2022;"17";"11";"25";"11";"70";"21";"7";"13";"0";"1022";"0";"0";""
Bari;2/11/2022;"16";"12";"21";"14";"89";"18";"8";"11";"0";"1022";"0";"0";"nebbia "
Bari;3/11/2022;"16";"9";"21";"12";"79";"19";"8";"13";"0";"1020";"0";"0";""
Bari;4/11/2022;"18";"13";"23";"12";"73";"19";"12";"39";"0";"1010";"0";"0";"pioggia "
Bari;5/11/2022;"15";"12";"18";"12";"83";"20";"12";"28";"0";"1003";"0";"0";"pioggia "
Bari;6/11/2022;"14";"9";"18";"11";"85";"19";"12";"21";"0";"1011";"0";"0";"pioggia "
Bari;7/11/2022;"14";"11";"18";"10";"79";"19";"11";"15";"0";"1020";"0";"0";""
Bari;8/11/2022;"13";"8";"19";"10";"82";"21";"9";"13";"0";"1021";"0";"0";""
Bari;9/11/2022;"13";"7";"20";"10";"82";"20";"10";"22";"0";"1021";"0";"0";""
Bari;10/11/2022;"15";"11";"19";"13";"88";"17";"8";"13";"0";"1023";"0";"0";""
Bari;11/11/2022;"16";"13";"20";"13";"84";"20";"14";"21";"0";"1028";"0";"0";""
Bari;12/11/2022;"15";"11";"19";"10";"73";"20";"17";"31";"0";"1025";"0";"0";"pioggia "
Bari;13/11/2022;"13";"11";"16";"11";"91";"18";"8";"17";"0";"1022";"0";"0";"pioggia "
Bari;14/11/2022;"15";"11";"21";"13";"88";"17";"7";"15";"0";"1021";"0";"0";"pioggia "
Bari;15/11/2022;"13";"9";"18";"11";"88";"19";"6";"13";"0";"1018";"0";"0";""
Bari;16/11/2022;"16";"14";"18";"13";"83";"18";"12";"21";"0";"1007";"0";"0";"pioggia "
Bari;17/11/2022;"16";"12";"20";"13";"85";"21";"12";"21";"0";"1004";"0";"0";"pioggia "
Bari;18/11/2022;"17";"12";"23";"12";"74";"19";"13";"28";"0";"1003";"0";"0";"pioggia "
Bari;19/11/2022;"16";"13";"18";"13";"82";"18";"11";"21";"0";"1006";"0";"0";"pioggia "
Bari;20/11/2022;"14";"11";"17";"11";"85";"18";"13";"26";"0";"1006";"0";"0";"pioggia "
Bari;21/11/2022;"12";"9";"16";"5";"64";"20";"16";"28";"0";"1010";"0";"0";""
Bari;22/11/2022;"15";"12";"19";"8";"66";"19";"21";"37";"0";"999";"0";"0";"pioggia "
Bari;23/11/2022;"12";"8";"16";"6";"67";"19";"17";"37";"0";"1003";"0";"0";""
Bari;24/11/2022;"11";"5";"16";"7";"77";"19";"10";"15";"0";"1012";"0";"0";""
Bari;25/11/2022;"12";"9";"17";"8";"81";"22";"10";"17";"0";"1020";"0";"0";""
Bari;26/11/2022;"12";"10";"15";"8";"77";"14";"13";"24";"0";"1019";"0";"0";"pioggia "
Bari;27/11/2022;"12";"8";"14";"7";"76";"19";"10";"24";"0";"1021";"0";"0";"pioggia "
Bari;28/11/2022;"10";"7";"13";"7";"82";"20";"9";"13";"0";"1017";"0";"0";"pioggia "
Bari;29/11/2022;"10";"6";"14";"7";"83";"18";"8";"17";"0";"1013";"0";"0";"pioggia "
Bari;30/11/2022;"13";"10";"15";"10";"83";"15";"13";"21";"0";"1010";"0";"0";"pioggia "
