LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/9/2022;"24";"20";"27";"18";"72";"21";"8";"15";"0";"1010";"0";"0";"pioggia "
Bari;2/9/2022;"23";"20";"26";"18";"74";"20";"15";"21";"0";"1012";"0";"0";""
Bari;3/9/2022;"23";"16";"27";"17";"70";"20";"12";"22";"0";"1016";"0";"0";""
Bari;4/9/2022;"24";"19";"27";"19";"77";"21";"7";"13";"0";"1018";"0";"0";""
Bari;5/9/2022;"24";"20";"27";"19";"77";"19";"12";"17";"0";"1020";"0";"0";""
Bari;6/9/2022;"23";"17";"29";"16";"65";"20";"10";"15";"0";"1019";"0";"0";""
Bari;7/9/2022;"26";"17";"32";"15";"52";"21";"15";"31";"0";"1016";"0";"0";""
Bari;8/9/2022;"28";"21";"35";"19";"59";"20";"11";"21";"0";"1014";"0";"0";""
Bari;9/9/2022;"28";"23";"32";"20";"64";"20";"13";"24";"0";"1013";"0";"0";""
Bari;10/9/2022;"27";"23";"31";"15";"49";"20";"13";"22";"0";"1014";"0";"0";""
Bari;11/9/2022;"25";"19";"28";"16";"60";"20";"13";"21";"0";"1012";"0";"0";""
Bari;12/9/2022;"23";"20";"26";"15";"60";"20";"14";"18";"0";"1014";"0";"0";""
Bari;13/9/2022;"23";"18";"27";"11";"49";"20";"10";"13";"0";"1014";"0";"0";""
Bari;14/9/2022;"26";"17";"32";"14";"49";"21";"16";"28";"0";"1014";"0";"0";""
Bari;15/9/2022;"28";"23";"33";"16";"52";"21";"13";"26";"0";"1012";"0";"0";""
Bari;16/9/2022;"26";"21";"32";"17";"60";"20";"13";"30";"0";"1009";"0";"0";"pioggia temporale "
Bari;17/9/2022;"24";"18";"31";"16";"61";"21";"24";"46";"0";"1004";"0";"0";"pioggia temporale "
Bari;18/9/2022;"18";"13";"22";"8";"53";"20";"15";"22";"0";"1014";"0";"0";""
Bari;19/9/2022;"20";"11";"27";"9";"52";"19";"10";"18";"0";"1013";"0";"0";""
Bari;20/9/2022;"20";"15";"23";"12";"59";"19";"9";"15";"0";"1015";"0";"0";""
Bari;21/9/2022;"19";"16";"22";"8";"50";"21";"13";"18";"0";"1017";"0";"0";"pioggia "
Bari;22/9/2022;"18";"13";"21";"7";"50";"20";"11";"18";"0";"1018";"0";"0";""
Bari;23/9/2022;"17";"12";"21";"7";"54";"18";"11";"17";"0";"1018";"0";"0";""
Bari;24/9/2022;"18";"10";"24";"8";"54";"21";"14";"33";"0";"1019";"0";"0";""
Bari;25/9/2022;"20";"14";"27";"12";"64";"19";"11";"21";"0";"1015";"0";"0";"pioggia "
Bari;26/9/2022;"20";"18";"21";"17";"84";"18";"14";"41";"0";"1009";"0";"0";"pioggia "
Bari;27/9/2022;"21";"15";"27";"13";"64";"21";"20";"37";"0";"1004";"0";"0";""
Bari;28/9/2022;"22";"17";"27";"12";"52";"21";"17";"33";"0";"1004";"0";"0";""
Bari;29/9/2022;"23";"18";"27";"13";"56";"19";"15";"28";"0";"1005";"0";"0";""
Bari;30/9/2022;"24";"19";"30";"14";"55";"21";"14";"26";"0";"1011";"0";"0";""
