LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/7/2023;"26";"20";"32";"18";"65";"19";"12";"22";"0";"1008";"0";"0";"pioggia "
Bari;2/7/2023;"23";"20";"27";"16";"64";"20";"11";"18";"0";"1010";"0";"0";""
Bari;3/7/2023;"25";"18";"29";"18";"65";"19";"10";"22";"0";"1012";"0";"0";""
Bari;4/7/2023;"26";"20";"29";"18";"63";"20";"10";"17";"0";"1013";"0";"0";""
Bari;5/7/2023;"26";"22";"28";"20";"71";"20";"10";"17";"0";"1013";"0";"0";""
Bari;6/7/2023;"26";"21";"30";"18";"61";"18";"10";"15";"0";"1014";"0";"0";""
Bari;7/7/2023;"26";"21";"29";"18";"65";"20";"12";"21";"0";"1018";"0";"0";""
Bari;8/7/2023;"25";"21";"29";"17";"61";"22";"12";"17";"0";"1020";"0";"0";""
Bari;9/7/2023;"24";"18";"30";"15";"57";"20";"10";"15";"0";"1020";"0";"0";""
Bari;10/7/2023;"26";"20";"30";"17";"57";"20";"9";"15";"0";"1020";"0";"0";""
Bari;11/7/2023;"28";"20";"33";"14";"44";"20";"10";"21";"0";"1018";"0";"0";""
Bari;12/7/2023;"31";"22";"40";"16";"41";"19";"13";"26";"0";"1016";"0";"0";""
Bari;13/7/2023;"32";"23";"38";"15";"37";"19";"11";"22";"0";"1014";"0";"0";""
Bari;14/7/2023;"29";"25";"33";"18";"55";"20";"11";"17";"0";"1015";"0";"0";""
Bari;15/7/2023;"28";"22";"32";"20";"67";"20";"8";"13";"0";"1016";"0";"0";""
Bari;16/7/2023;"29";"23";"35";"17";"47";"21";"8";"13";"0";"1015";"0";"0";""
Bari;17/7/2023;"30";"24";"34";"17";"48";"20";"8";"15";"0";"1016";"0";"0";""
Bari;18/7/2023;"29";"23";"35";"17";"50";"21";"10";"17";"0";"1015";"0";"0";""
Bari;19/7/2023;"32";"24";"37";"18";"45";"22";"13";"26";"0";"1011";"0";"0";""
Bari;20/7/2023;"31";"25";"36";"19";"52";"17";"10";"17";"0";"1008";"0";"0";""
Bari;21/7/2023;"31";"23";"39";"20";"58";"16";"12";"22";"0";"1010";"0";"0";""
Bari;22/7/2023;"31";"24";"37";"15";"39";"20";"10";"17";"0";"1012";"0";"0";""
Bari;23/7/2023;"30";"24";"34";"18";"50";"21";"8";"15";"0";"1015";"0";"0";""
Bari;24/7/2023;"33";"25";"40";"18";"42";"22";"12";"24";"0";"1012";"0";"0";""
Bari;25/7/2023;"36";"26";"44";"11";"24";"15";"21";"44";"0";"1004";"0";"0";""
Bari;26/7/2023;"29";"26";"33";"16";"47";"20";"20";"35";"0";"1006";"0";"0";"pioggia temporale "
Bari;27/7/2023;"25";"20";"27";"14";"55";"21";"14";"22";"0";"1014";"0";"0";""
Bari;28/7/2023;"26";"19";"29";"13";"47";"19";"14";"28";"0";"1014";"0";"0";""
Bari;29/7/2023;"26";"20";"30";"18";"59";"19";"9";"17";"0";"1013";"0";"0";""
Bari;30/7/2023;"28";"22";"32";"17";"55";"20";"10";"18";"0";"1012";"0";"0";""
Bari;31/7/2023;"27";"24";"30";"19";"63";"19";"10";"15";"0";"1011";"0";"0";""
