LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/3/2023;"11";"7";"14";"10";"94";"8";"8";"24";"0";"1012";"0";"0";"pioggia temporale nebbia "
Bari;2/3/2023;"8";"3";"13";"7";"91";"12";"8";"15";"0";"1014";"0";"0";"pioggia temporale "
Bari;3/3/2023;"10";"3";"14";"6";"79";"20";"12";"24";"0";"1013";"0";"0";"pioggia nebbia "
Bari;4/3/2023;"10";"8";"13";"8";"88";"15";"9";"21";"0";"1012";"0";"0";"pioggia temporale "
Bari;5/3/2023;"10";"7";"14";"7";"82";"13";"10";"17";"0";"1011";"0";"0";"pioggia temporale "
Bari;6/3/2023;"10";"4";"16";"5";"70";"21";"11";"26";"0";"1010";"0";"0";""
Bari;7/3/2023;"11";"4";"16";"5";"70";"20";"10";"21";"0";"1008";"0";"0";""
Bari;8/3/2023;"13";"9";"19";"7";"64";"20";"12";"22";"0";"1010";"0";"0";""
Bari;9/3/2023;"16";"10";"21";"10";"69";"21";"10";"21";"0";"1009";"0";"0";""
Bari;10/3/2023;"15";"12";"21";"11";"76";"19";"13";"28";"0";"1006";"0";"0";""
Bari;11/3/2023;"15";"10";"20";"9";"65";"15";"11";"28";"0";"1001";"0";"0";""
Bari;12/3/2023;"12";"8";"14";"8";"79";"15";"10";"18";"0";"1011";"0";"0";"pioggia "
Bari;13/3/2023;"12";"5";"18";"5";"64";"21";"10";"17";"0";"1019";"0";"0";""
Bari;14/3/2023;"15";"10";"20";"7";"62";"20";"16";"24";"0";"1008";"0";"0";""
Bari;15/3/2023;"12";"10";"16";"8";"74";"15";"23";"42";"0";"1003";"0";"0";"pioggia "
Bari;16/3/2023;"11";"10";"13";"2";"48";"22";"23";"30";"0";"1015";"0";"0";"pioggia "
Bari;17/3/2023;"9";"3";"12";"1";"51";"20";"14";"21";"0";"1020";"0";"0";""
Bari;18/3/2023;"9";"2";"15";"4";"72";"20";"10";"18";"0";"1019";"0";"0";""
Bari;19/3/2023;"11";"4";"17";"7";"76";"21";"11";"26";"0";"1020";"0";"0";""
Bari;20/3/2023;"13";"7";"18";"10";"84";"14";"9";"17";"0";"1018";"0";"0";"pioggia "
Bari;21/3/2023;"12";"11";"13";"11";"95";"11";"9";"15";"0";"1015";"0";"0";"pioggia "
Bari;22/3/2023;"12";"7";"17";"8";"80";"16";"10";"15";"0";"1015";"0";"0";""
Bari;23/3/2023;"12";"6";"19";"7";"73";"21";"9";"13";"0";"1016";"0";"0";""
Bari;24/3/2023;"14";"8";"19";"9";"73";"19";"12";"21";"0";"1016";"0";"0";""
Bari;25/3/2023;"16";"10";"22";"9";"65";"20";"11";"21";"0";"1013";"0";"0";""
Bari;26/3/2023;"15";"10";"18";"9";"66";"18";"13";"24";"0";"1011";"0";"0";""
Bari;27/3/2023;"14";"10";"19";"7";"66";"17";"18";"30";"0";"1004";"0";"0";"pioggia temporale "
Bari;28/3/2023;"10";"6";"12";"6";"54";"19";"20";"30";"0";"1019";"0";"0";"pioggia "
Bari;29/3/2023;"10";"6";"15";"4";"55";"20";"13";"21";"0";"1026";"0";"0";""
Bari;30/3/2023;"12";"5";"17";"6";"67";"20";"12";"18";"0";"1024";"0";"0";""
Bari;31/3/2023;"15";"7";"21";"8";"67";"20";"11";"24";"0";"1015";"0";"0";""
