LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/8/2024;"27";"18";"32";"12";"41";"20";"0";"0";"0";"1012";"0";"0";""
Bari;2/8/2024;"30";"24";"34";"16";"46";"20";"0";"0";"0";"1008";"0";"0";""
Bari;3/8/2024;"28";"24";"33";"20";"61";"19";"0";"0";"0";"1007";"0";"0";"pioggia "
Bari;4/8/2024;"27";"22";"30";"21";"73";"20";"0";"0";"0";"1010";"0";"0";""
Bari;5/8/2024;"27";"23";"30";"20";"67";"20";"0";"0";"0";"1010";"0";"0";""
Bari;6/8/2024;"27";"20";"32";"17";"60";"20";"0";"0";"0";"1010";"0";"0";""
Bari;7/8/2024;"27";"21";"33";"15";"49";"20";"0";"0";"0";"1011";"0";"0";""
Bari;8/8/2024;"28";"23";"32";"19";"61";"20";"0";"0";"0";"1012";"0";"0";""
Bari;9/8/2024;"28";"23";"31";"21";"67";"20";"0";"0";"0";"1014";"0";"0";""
Bari;10/8/2024;"28";"23";"32";"18";"57";"20";"0";"0";"0";"1017";"0";"0";""
Bari;11/8/2024;"28";"23";"32";"18";"55";"19";"0";"0";"0";"1017";"0";"0";""
Bari;12/8/2024;"27";"21";"32";"18";"57";"18";"0";"0";"0";"1013";"0";"0";""
Bari;13/8/2024;"28";"22";"33";"18";"56";"22";"0";"0";"0";"1010";"0";"0";""
Bari;14/8/2024;"28";"23";"33";"22";"70";"20";"0";"0";"0";"1011";"0";"0";""
Bari;15/8/2024;"28";"23";"33";"20";"61";"21";"0";"0";"0";"1014";"0";"0";""
Bari;16/8/2024;"29";"24";"33";"21";"65";"20";"0";"0";"0";"1015";"0";"0";""
Bari;17/8/2024;"29";"24";"33";"22";"68";"20";"0";"0";"0";"1012";"0";"0";""
Bari;18/8/2024;"29";"24";"36";"18";"56";"20";"0";"21";"0";"1008";"0";"0";""
Bari;19/8/2024;"24";"19";"29";"19";"75";"19";"1";"31";"0";"1006";"0";"0";"pioggia temporale "
Bari;20/8/2024;"24";"20";"27";"20";"80";"20";"0";"0";"0";"1008";"0";"0";""
Bari;21/8/2024;"26";"21";"29";"20";"73";"20";"0";"0";"0";"1010";"0";"0";""
Bari;22/8/2024;"27";"23";"30";"22";"74";"19";"0";"0";"0";"1011";"0";"0";""
Bari;23/8/2024;"27";"22";"32";"20";"65";"19";"0";"0";"0";"1014";"0";"0";""
Bari;24/8/2024;"27";"21";"32";"20";"69";"21";"0";"0";"0";"1015";"0";"0";""
Bari;25/8/2024;"28";"20";"33";"17";"53";"22";"0";"0";"0";"1012";"0";"0";""
Bari;26/8/2024;"28";"24";"31";"20";"62";"18";"0";"0";"0";"1011";"0";"0";""
Bari;27/8/2024;"27";"23";"30";"22";"76";"21";"0";"0";"0";"1013";"0";"0";""
Bari;28/8/2024;"27";"21";"31";"20";"67";"19";"0";"0";"0";"1015";"0";"0";""
Bari;29/8/2024;"27";"22";"31";"19";"63";"20";"0";"0";"0";"1015";"0";"0";""
Bari;30/8/2024;"28";"25";"32";"20";"62";"19";"0";"0";"0";"1014";"0";"0";""
Bari;31/8/2024;"28";"24";"31";"19";"61";"21";"0";"0";"0";"1014";"0";"0";""
