LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/4/2024;"18";"16";"22";"13";"73";"10";"20";"30";"0";"1010";"0";"0";""
Bari;2/4/2024;"15";"10";"20";"7";"61";"21";"12";"30";"0";"1016";"0";"0";""
Bari;3/4/2024;"13";"7";"18";"8";"71";"21";"11";"22";"0";"1018";"0";"0";""
Bari;4/4/2024;"14";"7";"19";"7";"64";"20";"9";"15";"0";"1020";"0";"0";""
Bari;5/4/2024;"15";"7";"20";"7";"64";"20";"8";"13";"0";"1023";"0";"0";""
Bari;6/4/2024;"15";"8";"21";"8";"62";"21";"7";"13";"0";"1023";"0";"0";""
Bari;7/4/2024;"16";"9";"22";"9";"64";"20";"10";"15";"0";"1020";"0";"0";""
Bari;8/4/2024;"17";"9";"23";"8";"57";"20";"13";"22";"0";"1018";"0";"0";""
Bari;9/4/2024;"20";"11";"26";"8";"50";"20";"10";"18";"0";"1015";"0";"0";""
Bari;10/4/2024;"18";"12";"23";"9";"56";"20";"10";"18";"0";"1016";"0";"0";""
Bari;11/4/2024;"17";"12";"21";"9";"61";"19";"10";"17";"0";"1022";"0";"0";""
Bari;12/4/2024;"17";"11";"22";"11";"66";"20";"10";"15";"0";"1025";"0";"0";""
Bari;13/4/2024;"18";"11";"24";"10";"63";"21";"10";"15";"0";"1025";"0";"0";""
Bari;14/4/2024;"19";"10";"24";"9";"54";"20";"10";"17";"0";"1023";"0";"0";""
Bari;15/4/2024;"22";"12";"29";"9";"47";"20";"11";"24";"0";"1016";"0";"0";""
Bari;16/4/2024;"21";"17";"28";"11";"55";"18";"13";"30";"0";"1005";"0";"0";"pioggia "
Bari;17/4/2024;"15";"11";"18";"9";"67";"19";"15";"26";"0";"1001";"0";"0";"pioggia "
Bari;18/4/2024;"12";"8";"16";"6";"66";"21";"11";"18";"0";"1007";"0";"0";"pioggia "
Bari;19/4/2024;"11";"8";"15";"7";"80";"17";"13";"22";"0";"1010";"0";"0";"pioggia "
Bari;20/4/2024;"12";"5";"18";"6";"70";"18";"11";"22";"0";"1009";"0";"0";"pioggia "
Bari;21/4/2024;"11";"7";"14";"7";"80";"19";"15";"39";"0";"1010";"0";"0";"pioggia "
Bari;22/4/2024;"12";"5";"18";"7";"72";"21";"17";"35";"0";"1012";"0";"0";""
Bari;23/4/2024;"14";"7";"18";"7";"65";"21";"10";"21";"0";"1006";"0";"0";""
Bari;24/4/2024;"12";"6";"17";"6";"68";"20";"11";"18";"0";"1007";"0";"0";"pioggia "
Bari;25/4/2024;"12";"5";"17";"5";"66";"20";"12";"17";"0";"1008";"0";"0";""
Bari;26/4/2024;"14";"8";"20";"6";"61";"20";"12";"26";"0";"1012";"0";"0";"pioggia "
Bari;27/4/2024;"15";"9";"20";"10";"74";"20";"11";"22";"0";"1016";"0";"0";""
Bari;28/4/2024;"15";"7";"21";"9";"68";"20";"11";"24";"0";"1019";"0";"0";""
Bari;29/4/2024;"15";"8";"21";"10";"75";"20";"9";"13";"0";"1019";"0";"0";""
Bari;30/4/2024;"17";"9";"22";"11";"68";"20";"11";"21";"0";"1017";"0";"0";""
