LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/6/2024;"23";"19";"26";"15";"62";"18";"0";"0";"0";"1014";"0";"0";"pioggia "
Bari;2/6/2024;"23";"19";"30";"16";"68";"20";"1";"22";"0";"1014";"0";"0";"pioggia "
Bari;3/6/2024;"21";"18";"24";"18";"83";"16";"0";"0";"0";"1013";"0";"0";"pioggia temporale "
Bari;4/6/2024;"21";"17";"24";"16";"76";"19";"0";"0";"0";"1014";"0";"0";""
Bari;5/6/2024;"22";"18";"25";"17";"75";"21";"0";"0";"0";"1015";"0";"0";"pioggia temporale "
Bari;6/6/2024;"22";"15";"27";"14";"64";"20";"0";"0";"0";"1017";"0";"0";""
Bari;7/6/2024;"24";"15";"29";"12";"49";"19";"0";"0";"0";"1016";"0";"0";""
Bari;8/6/2024;"25";"18";"30";"14";"52";"20";"0";"0";"0";"1014";"0";"0";""
Bari;9/6/2024;"28";"20";"35";"14";"45";"19";"0";"0";"0";"1009";"0";"0";""
Bari;10/6/2024;"29";"23";"34";"14";"41";"20";"1";"37";"0";"1007";"0";"0";""
Bari;11/6/2024;"25";"20";"28";"15";"52";"19";"0";"0";"0";"1010";"0";"0";"pioggia "
Bari;12/6/2024;"24";"19";"28";"18";"69";"20";"0";"0";"0";"1011";"0";"0";""
Bari;13/6/2024;"25";"19";"30";"16";"59";"18";"0";"0";"0";"1013";"0";"0";"pioggia temporale "
Bari;14/6/2024;"21";"17";"25";"13";"61";"21";"0";"0";"0";"1016";"0";"0";""
Bari;15/6/2024;"23";"16";"27";"11";"50";"19";"0";"0";"0";"1013";"0";"0";""
Bari;16/6/2024;"25";"19";"30";"15";"52";"20";"0";"0";"0";"1011";"0";"0";""
Bari;17/6/2024;"25";"21";"27";"17";"63";"20";"0";"0";"0";"1015";"0";"0";""
Bari;18/6/2024;"25";"17";"30";"11";"44";"19";"0";"0";"0";"1018";"0";"0";""
Bari;19/6/2024;"27";"19";"32";"13";"44";"20";"0";"0";"0";"1016";"0";"0";""
Bari;20/6/2024;"29";"24";"35";"16";"46";"21";"0";"0";"0";"1017";"0";"0";""
Bari;21/6/2024;"28";"22";"32";"18";"56";"21";"0";"0";"0";"1014";"0";"0";""
Bari;22/6/2024;"27";"22";"35";"20";"66";"17";"0";"0";"0";"1010";"0";"0";""
Bari;23/6/2024;"26";"18";"30";"14";"50";"22";"0";"0";"0";"1008";"0";"0";""
Bari;24/6/2024;"25";"21";"28";"19";"68";"20";"0";"0";"0";"1010";"0";"0";""
Bari;25/6/2024;"25";"22";"28";"16";"59";"20";"0";"0";"0";"1012";"0";"0";""
Bari;26/6/2024;"24";"20";"28";"19";"72";"21";"0";"0";"0";"1010";"0";"0";""
Bari;27/6/2024;"24";"20";"27";"18";"67";"20";"0";"0";"0";"1012";"0";"0";""
Bari;28/6/2024;"26";"22";"29";"17";"58";"19";"0";"13";"0";"1014";"0";"0";""
Bari;29/6/2024;"27";"23";"30";"17";"56";"19";"0";"0";"0";"1016";"0";"0";""
Bari;30/6/2024;"30";"21";"39";"15";"41";"21";"0";"0";"0";"1012";"0";"0";""
