LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/4/2021;"13";"6";"20";"9";"77";"21";"8";"18";"0";"1018";"0";"0";""
Lecce;2/4/2021;"15";"8";"22";"11";"78";"17";"12";"21";"0";"1016";"0";"0";""
Lecce;3/4/2021;"15";"13";"19";"14";"94";"17";"19";"33";"0";"1012";"0";"0";"pioggia "
Lecce;4/4/2021;"13";"7";"14";"10";"84";"16";"16";"31";"0";"1011";"0";"0";"pioggia temporale "
Lecce;5/4/2021;"9";"4";"15";"4";"71";"20";"11";"22";"0";"1013";"0";"0";""
Lecce;6/4/2021;"11";"4";"16";"5";"74";"21";"15";"28";"0";"1006";"0";"0";""
Lecce;7/4/2021;"11";"7";"14";"8";"85";"17";"15";"24";"0";"1009";"0";"0";"pioggia "
Lecce;8/4/2021;"8";"4";"11";"3";"62";"17";"22";"35";"0";"1022";"0";"0";"pioggia "
Lecce;9/4/2021;"7";"0";"13";"2";"65";"22";"8";"18";"0";"1028";"0";"0";""
Lecce;10/4/2021;"9";"2";"15";"5";"72";"20";"11";"21";"0";"1026";"0";"0";""
Lecce;11/4/2021;"11";"5";"17";"8";"86";"20";"14";"22";"0";"1023";"0";"0";""
Lecce;12/4/2021;"13";"10";"17";"11";"85";"17";"20";"33";"0";"1021";"0";"0";""
Lecce;13/4/2021;"14";"8";"17";"11";"84";"16";"18";"33";"0";"1017";"0";"0";"pioggia "
Lecce;14/4/2021;"9";"3";"14";"4";"73";"19";"17";"31";"0";"1019";"0";"0";""
Lecce;15/4/2021;"9";"3";"14";"3";"68";"20";"14";"24";"0";"1019";"0";"0";""
Lecce;16/4/2021;"9";"3";"13";"4";"74";"19";"16";"26";"0";"1016";"0";"0";""
Lecce;17/4/2021;"12";"11";"13";"7";"73";"21";"21";"28";"0";"1009";"0";"0";""
Lecce;18/4/2021;"11";"6";"15";"7";"76";"21";"6";"13";"0";"1014";"0";"0";""
Lecce;19/4/2021;"10";"8";"14";"9";"96";"20";"8";"21";"0";"1013";"0";"0";"pioggia temporale "
Lecce;20/4/2021;"12";"5";"17";"7";"77";"19";"10";"24";"0";"1016";"0";"0";""
Lecce;21/4/2021;"12";"5";"18";"8";"78";"17";"7";"17";"0";"1019";"0";"0";""
Lecce;22/4/2021;"13";"10";"15";"13";"97";"10";"19";"33";"0";"1020";"0";"0";"pioggia "
Lecce;23/4/2021;"14";"12";"17";"12";"88";"14";"11";"21";"0";"1019";"0";"0";"pioggia "
Lecce;24/4/2021;"13";"12";"15";"11";"89";"12";"16";"30";"0";"1017";"0";"0";"pioggia "
Lecce;25/4/2021;"15";"10";"20";"9";"71";"18";"14";"21";"0";"1017";"0";"0";""
Lecce;26/4/2021;"16";"7";"23";"9";"69";"17";"13";"26";"0";"1015";"0";"0";""
Lecce;27/4/2021;"17";"14";"19";"15";"90";"16";"23";"37";"0";"1009";"0";"0";""
Lecce;28/4/2021;"18";"13";"23";"16";"89";"8";"9";"18";"0";"1009";"0";"0";"nebbia "
Lecce;29/4/2021;"18";"12";"25";"14";"83";"11";"5";"13";"0";"1012";"0";"0";"nebbia "
Lecce;30/4/2021;"20";"12";"25";"15";"77";"16";"13";"22";"0";"1013";"0";"0";"nebbia "
