LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/11/2021;"15";"9";"18";"13";"89";"20";"20";"28";"0";"1011";"0";"0";"pioggia "
Lecce;2/11/2021;"17";"14";"20";"15";"85";"16";"19";"31";"0";"1007";"0";"0";"pioggia "
Lecce;3/11/2021;"14";"11";"20";"12";"88";"21";"16";"35";"0";"1012";"0";"0";""
Lecce;4/11/2021;"18";"17";"20";"17";"91";"16";"37";"41";"0";"1012";"0";"0";""
Lecce;5/11/2021;"19";"18";"21";"18";"93";"10";"15";"22";"0";"1014";"0";"0";""
Lecce;6/11/2021;"17";"16";"20";"16";"92";"16";"11";"17";"0";"1019";"0";"0";""
Lecce;7/11/2021;"16";"12";"20";"14";"90";"15";"8";"15";"0";"1018";"0";"0";""
Lecce;8/11/2021;"18";"17";"20";"17";"95";"6";"13";"21";"0";"1015";"0";"0";"pioggia "
Lecce;9/11/2021;"18";"15";"22";"17";"95";"9";"8";"17";"0";"1020";"0";"0";"pioggia "
Lecce;10/11/2021;"14";"14";"15";"14";"97";"14";"4";"5";"0";"1023";"0";"0";""
Lecce;11/11/2021;"15,8";"13,1";"19,8";"12,5";"81";"0";"5";"0";"23";"0";"1021";"0,5";"pioggia "
Lecce;12/11/2021;"13";"8";"19";"11";"87";"13";"3";"8";"0";"1019";"0";"0";"nebbia "
Lecce;13/11/2021;"15";"12";"19";"13";"89";"19";"7";"15";"0";"1019";"0";"0";""
Lecce;14/11/2021;"15";"13";"18";"15";"95";"18";"12";"24";"0";"1016";"0";"0";"pioggia temporale "
Lecce;15/11/2021;"14";"11";"16";"14";"98";"14";"12";"26";"0";"1015";"0";"0";"pioggia "
Lecce;16/11/2021;"15";"14";"16";"14";"94";"14";"16";"26";"0";"1016";"0";"0";"pioggia "
Lecce;17/11/2021;"15";"12";"18";"13";"93";"16";"11";"21";"0";"1017";"0";"0";"pioggia temporale "
Lecce;18/11/2021;"14";"11";"17";"12";"88";"20";"14";"26";"0";"1020";"0";"0";""
Lecce;19/11/2021;"12";"9";"16";"10";"85";"23";"16";"33";"0";"1023";"0";"0";""
Lecce;20/11/2021;"13";"11";"16";"11";"91";"16";"17";"26";"0";"1020";"0";"0";""
Lecce;21/11/2021;"12";"7";"17";"10";"90";"12";"8";"13";"0";"1015";"0";"0";"nebbia "
Lecce;22/11/2021;"15";"12";"18";"14";"95";"21";"12";"26";"0";"1011";"0";"0";"pioggia temporale "
Lecce;23/11/2021;"13";"10";"18";"12";"97";"9";"8";"13";"0";"1014";"0";"0";"pioggia temporale "
Lecce;24/11/2021;"11";"8";"17";"10";"96";"12";"4";"9";"0";"1017";"0";"0";"pioggia temporale nebbia "
Lecce;25/11/2021;"14";"12";"18";"13";"93";"19";"18";"31";"0";"1013";"0";"0";"pioggia temporale "
Lecce;26/11/2021;"14";"12";"16";"12";"84";"18";"21";"39";"0";"1002";"0";"0";"pioggia temporale "
Lecce;27/11/2021;"14";"11";"17";"11";"87";"20";"16";"37";"0";"1003";"0";"0";"pioggia temporale "
Lecce;28/11/2021;"13";"11";"17";"11";"86";"21";"20";"44";"0";"1000";"0";"0";""
Lecce;29/11/2021;"12";"10";"14";"8";"79";"21";"20";"31";"0";"999";"0";"0";"pioggia "
Lecce;30/11/2021;"8";"6";"10";"5";"80";"21";"23";"42";"0";"1013";"0";"0";""
