LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/5/2022;"16";"9";"21";"12";"79";"20";"10";"18";"0";"1015";"0";"0";""
Lecce;2/5/2022;"14";"10";"19";"12";"86";"16";"10";"26";"0";"1011";"0";"0";""
Lecce;3/5/2022;"15";"9";"19";"13";"87";"20";"8";"21";"0";"1013";"0";"0";"pioggia temporale "
Lecce;4/5/2022;"15";"8";"21";"12";"83";"17";"5";"17";"0";"1017";"0";"0";""
Lecce;5/5/2022;"16";"9";"21";"12";"80";"17";"8";"17";"0";"1020";"0";"0";""
Lecce;6/5/2022;"16";"13";"20";"14";"86";"18";"11";"18";"0";"1018";"0";"0";"pioggia "
Lecce;7/5/2022;"17";"13";"22";"13";"77";"20";"14";"24";"0";"1015";"0";"0";""
Lecce;8/5/2022;"18";"14";"21";"13";"77";"21";"18";"30";"0";"1016";"0";"0";""
Lecce;9/5/2022;"17";"9";"23";"11";"73";"12";"7";"17";"0";"1019";"0";"0";"nebbia "
Lecce;10/5/2022;"18";"12";"25";"14";"79";"22";"11";"18";"0";"1019";"0";"0";""
Lecce;11/5/2022;"18";"9";"25";"13";"75";"21";"9";"17";"0";"1019";"0";"0";""
Lecce;12/5/2022;"19";"10";"27";"12";"69";"18";"7";"17";"0";"1021";"0";"0";""
Lecce;13/5/2022;"21";"11";"27";"12";"62";"16";"10";"18";"0";"1019";"0";"0";""
Lecce;14/5/2022;"19";"12";"28";"13";"69";"16";"9";"22";"0";"1016";"0";"0";"nebbia "
Lecce;15/5/2022;"20";"13";"28";"15";"76";"21";"8";"17";"0";"1017";"0";"0";""
Lecce;16/5/2022;"22";"15";"28";"16";"71";"20";"8";"18";"0";"1018";"0";"0";"pioggia temporale "
Lecce;17/5/2022;"22";"15";"29";"16";"73";"14";"8";"24";"0";"1017";"0";"0";"nebbia "
Lecce;18/5/2022;"22";"17";"26";"17";"73";"19";"20";"33";"0";"1016";"0";"0";""
Lecce;19/5/2022;"20";"14";"24";"10";"56";"19";"18";"24";"0";"1022";"0";"0";""
Lecce;20/5/2022;"18";"8";"27";"7";"52";"18";"12";"22";"0";"1025";"0";"0";""
Lecce;21/5/2022;"19";"7";"28";"8";"54";"21";"10";"24";"0";"1018";"0";"0";""
Lecce;22/5/2022;"23";"13";"29";"15";"65";"19";"9";"18";"0";"1012";"0";"0";""
Lecce;23/5/2022;"23";"16";"31";"17";"72";"22";"10";"22";"0";"1010";"0";"0";""
Lecce;24/5/2022;"23";"17";"29";"19";"80";"21";"15";"22";"0";"1010";"0";"0";""
Lecce;25/5/2022;"24";"18";"30";"12";"54";"20";"21";"31";"0";"1014";"0";"0";""
Lecce;26/5/2022;"23";"16";"29";"17";"70";"22";"13";"21";"0";"1018";"0";"0";""
Lecce;27/5/2022;"24";"15";"31";"16";"65";"18";"7";"15";"0";"1016";"0";"0";""
Lecce;28/5/2022;"26";"20";"31";"14";"54";"20";"14";"28";"0";"1008";"0";"0";""
Lecce;29/5/2022;"22";"20";"24";"20";"91";"19";"16";"28";"0";"1004";"0";"0";"pioggia temporale "
Lecce;30/5/2022;"24";"19";"30";"19";"79";"22";"40";"100";"0";"1010";"0";"0";""
Lecce;31/5/2022;"25";"19";"30";"19";"70";"21";"13";"21";"0";"1014";"0";"0";""
