LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/3/2022;"5";"2";"8";"4";"90";"18";"19";"31";"0";"1018";"0";"0";"pioggia "
Lecce;2/3/2022;"7";"3";"10";"2";"70";"19";"21";"33";"0";"1018";"0";"0";""
Lecce;3/3/2022;"7";"4";"11";"4";"79";"19";"7";"18";"0";"1017";"0";"0";""
Lecce;4/3/2022;"7";"3";"12";"5";"90";"20";"7";"18";"0";"1012";"0";"0";""
Lecce;5/3/2022;"8";"4";"11";"6";"92";"17";"12";"22";"0";"1006";"0";"0";"pioggia temporale "
Lecce;6/3/2022;"7";"5";"10";"3";"77";"22";"18";"31";"0";"1010";"0";"0";""
Lecce;7/3/2022;"6";"2";"11";"4";"89";"20";"8";"21";"0";"1013";"0";"0";""
Lecce;8/3/2022;"4";"2";"7";"3";"95";"11";"19";"33";"0";"1012";"0";"0";"pioggia "
Lecce;9/3/2022;"7";"5";"9";"0";"57";"21";"25";"37";"0";"1015";"0";"0";""
Lecce;10/3/2022;"8";"3";"11";"3";"73";"19";"19";"35";"0";"1020";"0";"0";"pioggia "
Lecce;11/3/2022;"5";"1";"9";"1";"69";"18";"12";"22";"0";"1024";"0";"0";""
Lecce;12/3/2022;"4";"-2";"8";"1";"69";"19";"14";"30";"0";"1026";"0";"0";""
Lecce;13/3/2022;"5";"-3";"12";"4";"82";"16";"8";"22";"0";"1026";"0";"0";""
Lecce;14/3/2022;"6";"-1";"13";"4";"84";"18";"5";"11";"0";"1031";"0";"0";""
Lecce;15/3/2022;"8";"0";"14";"4";"75";"18";"6";"15";"0";"1034";"0";"0";""
Lecce;16/3/2022;"9";"3";"15";"7";"88";"18";"11";"21";"0";"1027";"0";"0";""
Lecce;17/3/2022;"10";"6";"15";"8";"90";"11";"5";"13";"0";"1023";"0";"0";""
Lecce;18/3/2022;"9";"3";"18";"8";"94";"5";"9";"22";"0";"1027";"0";"0";"pioggia nebbia "
Lecce;19/3/2022;"9";"4";"12";"5";"78";"19";"7";"15";"0";"1030";"0";"0";""
Lecce;20/3/2022;"6";"1";"9";"3";"82";"21";"8";"15";"0";"1032";"0";"0";"pioggia "
Lecce;21/3/2022;"5";"-2";"11";"2";"68";"22";"11";"22";"0";"1030";"0";"0";""
Lecce;22/3/2022;"9";"0";"13";"4";"61";"21";"19";"31";"0";"1028";"0";"0";""
Lecce;23/3/2022;"11";"7";"15";"7";"80";"22";"20";"24";"0";"1025";"0";"0";""
Lecce;24/3/2022;"10";"4";"17";"6";"77";"17";"11";"21";"0";"1025";"0";"0";"nebbia "
Lecce;25/3/2022;"8";"0";"18";"3";"73";"13";"5";"13";"0";"1024";"0";"0";"nebbia "
Lecce;26/3/2022;"10";"1";"19";"7";"81";"20";"6";"17";"0";"1026";"0";"0";""
Lecce;27/3/2022;"11";"6";"17";"6";"73";"21";"7";"15";"0";"1027";"0";"0";""
Lecce;28/3/2022;"13";"9";"17";"10";"84";"18";"10";"17";"0";"1025";"0";"0";"pioggia "
Lecce;29/3/2022;"12";"5";"18";"8";"81";"13";"7";"21";"0";"1017";"0";"0";"nebbia "
Lecce;30/3/2022;"12";"9";"15";"10";"87";"13";"21";"33";"0";"1010";"0";"0";"pioggia "
Lecce;31/3/2022;"14";"13";"15";"12";"92";"5";"35";"41";"0";"1001";"0";"0";"pioggia "
