LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/10/2022;"23";"19";"27";"19";"81";"20";"11";"18";"0";"1016";"0";"0";"pioggia temporale "
Lecce;2/10/2022;"19";"15";"24";"16";"82";"19";"12";"22";"0";"1020";"0";"0";""
Lecce;3/10/2022;"19";"14";"23";"16";"84";"18";"17";"28";"0";"1016";"0";"0";""
Lecce;4/10/2022;"17";"13";"21";"12";"72";"18";"19";"31";"0";"1018";"0";"0";""
Lecce;5/10/2022;"18";"12";"22";"12";"71";"18";"17";"28";"0";"1024";"0";"0";""
Lecce;6/10/2022;"16";"11";"21";"13";"84";"20";"14";"26";"0";"1026";"0";"0";""
Lecce;7/10/2022;"18";"14";"22";"15";"82";"20";"16";"28";"0";"1022";"0";"0";""
Lecce;8/10/2022;"17";"12";"23";"13";"80";"13";"5";"13";"0";"1020";"0";"0";"nebbia "
Lecce;9/10/2022;"17";"11";"24";"14";"84";"16";"5";"13";"0";"1019";"0";"0";"nebbia "
Lecce;10/10/2022;"18";"15";"22";"17";"95";"10";"10";"26";"0";"1019";"0";"0";"pioggia temporale "
Lecce;11/10/2022;"18";"15";"20";"16";"89";"20";"12";"18";"0";"1017";"0";"0";"pioggia "
Lecce;12/10/2022;"18";"15";"21";"15";"88";"20";"9";"15";"0";"1020";"0";"0";""
Lecce;13/10/2022;"17";"14";"21";"15";"93";"15";"8";"26";"0";"1018";"0";"0";"pioggia temporale "
Lecce;14/10/2022;"17";"15";"20";"16";"92";"9";"15";"28";"0";"1012";"0";"0";"pioggia temporale "
Lecce;15/10/2022;"15";"12";"20";"12";"82";"20";"11";"21";"0";"1016";"0";"0";""
Lecce;16/10/2022;"14";"9";"20";"12";"89";"16";"8";"21";"0";"1021";"0";"0";"nebbia "
Lecce;17/10/2022;"16";"10";"21";"14";"90";"6";"10";"22";"0";"1026";"0";"0";"nebbia "
Lecce;18/10/2022;"16";"11";"21";"14";"88";"7";"11";"22";"0";"1025";"0";"0";"nebbia "
Lecce;19/10/2022;"16";"12";"20";"14";"89";"4";"12";"24";"0";"1019";"0";"0";"nebbia "
Lecce;20/10/2022;"17";"12";"21";"13";"78";"15";"13";"22";"0";"1019";"0";"0";""
Lecce;21/10/2022;"14";"8";"23";"11";"83";"12";"4";"15";"0";"1022";"0";"0";"nebbia "
Lecce;22/10/2022;"17";"11";"22";"14";"84";"20";"13";"24";"0";"1023";"0";"0";""
Lecce;23/10/2022;"18";"14";"25";"15";"86";"7";"5";"9";"0";"1023";"0";"0";"nebbia "
Lecce;24/10/2022;"18";"12";"25";"16";"90";"7";"7";"13";"0";"1022";"0";"0";"nebbia "
Lecce;25/10/2022;"18";"14";"24";"15";"84";"10";"5";"11";"0";"1019";"0";"0";"nebbia "
Lecce;26/10/2022;"19";"13";"23";"16";"84";"15";"12";"21";"0";"1021";"0";"0";""
Lecce;27/10/2022;"17";"13";"22";"15";"86";"15";"14";"28";"0";"1024";"0";"0";""
Lecce;28/10/2022;"18";"15";"21";"15";"85";"13";"17";"26";"0";"1025";"0";"0";""
Lecce;29/10/2022;"17";"13";"21";"14";"85";"11";"16";"26";"0";"1023";"0";"0";""
Lecce;30/10/2022;"16";"12";"21";"14";"87";"8";"9";"28";"0";"1021";"0";"0";"nebbia "
Lecce;31/10/2022;"17";"11";"22";"15";"87";"11";"14";"28";"0";"1021";"0";"0";"nebbia "
