LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/8/2023;"29";"21";"35";"21";"67";"20";"0";"0";"0";"1008";"0";"0";""
Lecce;2/8/2023;"29";"24";"33";"24";"77";"22";"5";"18";"0";"1008";"0";"0";""
Lecce;3/8/2023;"29";"25";"33";"25";"81";"19";"12";"18";"0";"1010";"0";"0";""
Lecce;4/8/2023;"30";"25";"34";"25";"80";"18";"16";"24";"0";"1009";"0";"0";""
Lecce;5/8/2023;"26";"20";"29";"23";"82";"19";"13";"22";"0";"1006";"0";"0";"pioggia temporale "
Lecce;6/8/2023;"25";"19";"30";"19";"72";"21";"17";"31";"0";"1007";"0";"0";""
Lecce;7/8/2023;"25";"19";"31";"18";"67";"21";"13";"26";"0";"1010";"0";"0";""
Lecce;8/8/2023;"26";"21";"29";"18";"64";"18";"16";"30";"0";"1014";"0";"0";""
Lecce;9/8/2023;"25";"18";"30";"19";"72";"21";"13";"22";"0";"1014";"0";"0";""
Lecce;10/8/2023;"25";"17";"31";"17";"68";"21";"13";"26";"0";"1016";"0";"0";""
Lecce;11/8/2023;"26";"21";"29";"20";"71";"20";"18";"28";"0";"1018";"0";"0";""
Lecce;12/8/2023;"26";"20";"31";"20";"74";"19";"15";"24";"0";"1018";"0";"0";""
Lecce;13/8/2023;"26";"20";"31";"21";"75";"19";"18";"28";"0";"1017";"0";"0";""
Lecce;14/8/2023;"27";"23";"32";"23";"78";"20";"14";"24";"0";"1016";"0";"0";""
Lecce;15/8/2023;"26";"19";"32";"20";"73";"19";"10";"22";"0";"1016";"0";"0";""
Lecce;16/8/2023;"26";"20";"33";"22";"80";"20";"9";"22";"0";"1015";"0";"0";""
Lecce;17/8/2023;"27";"22";"33";"23";"82";"18";"15";"26";"0";"1014";"0";"0";""
Lecce;18/8/2023;"29";"21";"34";"23";"72";"21";"18";"28";"0";"1013";"0";"0";""
Lecce;19/8/2023;"29";"22";"33";"23";"72";"19";"20";"30";"0";"1013";"0";"0";""
Lecce;20/8/2023;"28";"23";"33";"23";"75";"23";"21";"30";"0";"1013";"0";"0";""
Lecce;21/8/2023;"31";"26";"36";"23";"68";"19";"20";"31";"0";"1014";"0";"0";""
Lecce;22/8/2023;"31";"27";"37";"24";"68";"20";"17";"24";"0";"1013";"0";"0";""
Lecce;23/8/2023;"30";"24";"36";"25";"76";"19";"12";"18";"0";"1013";"0";"0";""
Lecce;24/8/2023;"29";"23";"35";"25";"82";"18";"10";"24";"0";"1013";"0";"0";""
Lecce;25/8/2023;"30";"23";"36";"24";"73";"16";"8";"15";"0";"1013";"0";"0";""
Lecce;26/8/2023;"31";"23";"37";"24";"67";"20";"7";"15";"0";"1012";"0";"0";""
Lecce;27/8/2023;"32";"23";"38";"23";"63";"23";"9";"22";"0";"1010";"0";"0";""
Lecce;28/8/2023;"30";"26";"36";"26";"82";"21";"16";"26";"0";"1006";"0";"0";""
Lecce;29/8/2023;"27";"23";"31";"21";"71";"19";"15";"30";"0";"1005";"0";"0";"pioggia temporale "
Lecce;30/8/2023;"27";"23";"30";"21";"73";"21";"19";"33";"0";"1008";"0";"0";""
Lecce;31/8/2023;"25";"19";"31";"19";"73";"16";"9";"22";"0";"1014";"0";"0";""
