LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/2/2023;"6";"2";"12";"3";"80";"17";"9";"15";"0";"1022";"0";"0";""
Lecce;2/2/2023;"7";"0";"14";"4";"85";"18";"5";"9";"0";"1022";"0";"0";""
Lecce;3/2/2023;"6";"2";"12";"2";"81";"21";"9";"31";"0";"1024";"0";"0";""
Lecce;4/2/2023;"8";"4";"14";"4";"76";"23";"19";"37";"0";"1018";"0";"0";"pioggia "
Lecce;5/2/2023;"5";"3";"6";"0";"57";"21";"33";"41";"0";"1021";"0";"0";""
Lecce;6/2/2023;"3";"2";"4";"0";"56";"22";"26";"37";"0";"1025";"0";"0";""
Lecce;7/2/2023;"4";"1";"7";"0";"63";"19";"17";"30";"0";"1028";"0";"0";""
Lecce;8/2/2023;"4";"-3";"9";"2";"70";"19";"10";"17";"0";"1029";"0";"0";""
Lecce;9/2/2023;"5";"0";"8";"2";"76";"18";"7";"13";"0";"1030";"0";"0";""
Lecce;10/2/2023;"6";"1";"10";"2";"74";"17";"11";"22";"0";"1030";"0";"0";""
Lecce;11/2/2023;"6";"1";"11";"4";"85";"16";"14";"24";"0";"1032";"0";"0";""
Lecce;12/2/2023;"8";"4";"11";"4";"80";"21";"16";"26";"0";"1028";"0";"0";""
Lecce;13/2/2023;"9";"4";"13";"5";"78";"20";"12";"21";"0";"1033";"0";"0";""
Lecce;14/2/2023;"8";"3";"13";"6";"90";"19";"17";"30";"0";"1029";"0";"0";""
Lecce;15/2/2023;"9";"3";"13";"5";"81";"16";"8";"17";"0";"1028";"0";"0";""
Lecce;16/2/2023;"8";"0";"16";"6";"83";"17";"7";"11";"0";"1030";"0";"0";""
Lecce;17/2/2023;"9";"3";"15";"7";"87";"7";"8";"17";"0";"1029";"0";"0";"nebbia "
Lecce;18/2/2023;"8";"1";"15";"5";"85";"8";"6";"15";"0";"1029";"0";"0";"nebbia "
Lecce;19/2/2023;"9";"3";"15";"6";"85";"11";"8";"18";"0";"1025";"0";"0";"nebbia "
Lecce;20/2/2023;"11";"5";"15";"9";"89";"14";"12";"24";"0";"1025";"0";"0";"nebbia "
Lecce;21/2/2023;"10";"4";"17";"7";"87";"11";"5";"11";"0";"1022";"0";"0";"nebbia "
Lecce;22/2/2023;"9";"3";"14";"7";"90";"8";"6";"13";"0";"1018";"0";"0";""
Lecce;23/2/2023;"9";"4";"15";"7";"88";"4";"4";"15";"0";"1016";"0";"0";"nebbia "
Lecce;24/2/2023;"10";"6";"16";"8";"88";"11";"10";"21";"0";"1015";"0";"0";"nebbia "
Lecce;25/2/2023;"13";"12";"15";"11";"89";"19";"31";"48";"0";"1008";"0";"0";""
Lecce;26/2/2023;"14";"10";"17";"12";"87";"13";"23";"39";"0";"1001";"0";"0";"pioggia temporale "
Lecce;27/2/2023;"11";"8";"15";"9";"90";"19";"17";"55";"0";"1012";"0";"0";"pioggia "
Lecce;28/2/2023;"13";"11";"18";"11";"87";"8";"0";"8";"0";"1016";"0";"0";""
