LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/12/2024;"12";"10";"13";"8";"80";"18";"3";"28";"0";"1014";"0";"0";"pioggia "
Lecce;2/12/2024;"11";"7";"16";"8";"85";"22";"0";"0";"0";"1016";"0";"0";""
Lecce;3/12/2024;"9";"4";"14";"7";"90";"13";"0";"0";"0";"1016";"0";"0";"nebbia "
Lecce;4/12/2024;"12";"8";"16";"10";"88";"21";"0";"0";"0";"1015";"0";"0";"pioggia "
Lecce;5/12/2024;"13";"12";"13";"12";"95";"8";"0";"0";"0";"1012";"0";"0";"pioggia "
Lecce;6/12/2024;"12";"10";"13";"11";"94";"6";"0";"0";"0";"1014";"0";"0";"pioggia "
Lecce;7/12/2024;"9";"3";"13";"6";"84";"15";"0";"0";"0";"1012";"0";"0";"pioggia "
Lecce;8/12/2024;"10";"4";"14";"7";"81";"19";"3";"33";"0";"1003";"0";"0";"pioggia temporale "
Lecce;9/12/2024;"10";"5";"16";"8";"87";"19";"0";"0";"0";"1008";"0";"0";""
Lecce;10/12/2024;"10";"6";"15";"9";"92";"17";"0";"0";"0";"1015";"0";"0";"pioggia temporale "
Lecce;11/12/2024;"10";"4";"16";"8";"88";"18";"0";"0";"0";"1021";"0";"0";"pioggia temporale "
Lecce;12/12/2024;"10";"5";"14";"8";"91";"18";"0";"0";"0";"1026";"0";"0";"nebbia "
Lecce;13/12/2024;"8";"3";"15";"7";"90";"11";"0";"0";"0";"1028";"0";"0";"nebbia "
Lecce;14/12/2024;"14";"9";"17";"12";"89";"20";"8";"37";"0";"1023";"0";"0";"pioggia "
Lecce;15/12/2024;"9";"6";"13";"7";"90";"14";"0";"0";"0";"1021";"0";"0";""
Lecce;16/12/2024;"8";"4";"13";"5";"82";"21";"0";"0";"0";"1030";"0";"0";""
Lecce;17/12/2024;"9";"5";"16";"7";"88";"20";"0";"0";"0";"1030";"0";"0";""
Lecce;18/12/2024;"8";"3";"15";"7";"95";"12";"0";"0";"0";"1026";"0";"0";"nebbia "
Lecce;19/12/2024;"10";"3";"15";"7";"84";"12";"0";"0";"0";"1019";"0";"0";"nebbia "
Lecce;20/12/2024;"13";"6";"16";"10";"85";"18";"4";"33";"0";"1007";"0";"0";"pioggia temporale "
Lecce;21/12/2024;"7";"4";"12";"4";"84";"18";"0";"0";"0";"1014";"0";"0";"pioggia "
Lecce;22/12/2024;"7";"2";"11";"3";"77";"21";"0";"0";"0";"1016";"0";"0";""
Lecce;23/12/2024;"10";"6";"13";"7";"82";"14";"9";"37";"0";"997";"0";"0";"pioggia "
Lecce;24/12/2024;"7";"4";"11";"4";"87";"19";"0";"0";"0";"1001";"0";"0";"pioggia temporale "
Lecce;25/12/2024;"10";"8";"12";"5";"69";"20";"9";"39";"0";"1011";"0";"0";""
Lecce;26/12/2024;"11";"10";"13";"6";"72";"20";"0";"0";"0";"1018";"0";"0";""
Lecce;27/12/2024;"11";"7";"14";"7";"79";"21";"2";"31";"0";"1023";"0";"0";""
Lecce;28/12/2024;"9";"6";"13";"5";"77";"20";"0";"0";"0";"1023";"0";"0";""
Lecce;29/12/2024;"8";"2";"14";"5";"86";"17";"0";"0";"0";"1025";"0";"0";""
Lecce;30/12/2024;"7";"1";"15";"6";"94";"6";"0";"0";"0";"1028";"0";"0";"nebbia "
Lecce;31/12/2024;"8";"2";"15";"7";"95";"5";"0";"0";"0";"1031";"0";"0";"nebbia "
