LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/6/2024;"23";"20";"28";"20";"83";"20";"0";"0";"0";"1015";"0";"0";""
Lecce;2/6/2024;"25";"18";"32";"15";"61";"19";"0";"0";"0";"1015";"0";"0";""
Lecce;3/6/2024;"25";"20";"31";"18";"70";"18";"0";"0";"0";"1012";"0";"0";""
Lecce;4/6/2024;"24";"20";"28";"17";"69";"19";"0";"0";"0";"1014";"0";"0";""
Lecce;5/6/2024;"23";"19";"28";"18";"73";"21";"0";"0";"0";"1015";"0";"0";"pioggia "
Lecce;6/6/2024;"25";"19";"30";"17";"66";"20";"1";"31";"0";"1015";"0";"0";""
Lecce;7/6/2024;"26";"19";"31";"16";"58";"20";"0";"0";"0";"1015";"0";"0";""
Lecce;8/6/2024;"26";"17";"32";"17";"61";"19";"0";"0";"0";"1014";"0";"0";""
Lecce;9/6/2024;"28";"18";"36";"17";"58";"22";"0";"0";"0";"1011";"0";"0";""
Lecce;10/6/2024;"28";"24";"33";"20";"65";"22";"0";"0";"0";"1009";"0";"0";""
Lecce;11/6/2024;"28";"22";"35";"20";"68";"21";"0";"0";"0";"1010";"0";"0";""
Lecce;12/6/2024;"28";"22";"35";"21";"71";"20";"0";"0";"0";"1011";"0";"0";""
Lecce;13/6/2024;"27";"24";"32";"23";"80";"20";"0";"0";"0";"1013";"0";"0";"pioggia temporale "
Lecce;14/6/2024;"24";"20";"28";"19";"73";"21";"0";"0";"0";"1015";"0";"0";""
Lecce;15/6/2024;"25";"16";"31";"16";"64";"18";"0";"0";"0";"1014";"0";"0";""
Lecce;16/6/2024;"27";"19";"34";"17";"59";"18";"0";"0";"0";"1012";"0";"0";""
Lecce;17/6/2024;"29";"23";"34";"22";"71";"21";"0";"0";"0";"1014";"0";"0";""
Lecce;18/6/2024;"28";"20";"35";"17";"58";"17";"0";"0";"0";"1017";"0";"0";""
Lecce;19/6/2024;"30";"19";"37";"16";"47";"22";"0";"0";"0";"1016";"0";"0";""
Lecce;20/6/2024;"31";"23";"37";"20";"57";"19";"0";"0";"0";"1015";"0";"0";""
Lecce;21/6/2024;"34";"29";"40";"23";"57";"20";"0";"0";"0";"1014";"0";"0";""
Lecce;22/6/2024;"32";"25";"39";"23";"61";"19";"0";"0";"0";"1009";"0";"0";""
Lecce;23/6/2024;"29";"23";"34";"19";"61";"18";"0";"0";"0";"1008";"0";"0";""
Lecce;24/6/2024;"26";"20";"32";"20";"72";"19";"0";"0";"0";"1009";"0";"0";""
Lecce;25/6/2024;"29";"25";"34";"18";"53";"17";"0";"0";"0";"1012";"0";"0";""
Lecce;26/6/2024;"28";"22";"36";"22";"76";"20";"0";"0";"0";"1010";"0";"0";""
Lecce;27/6/2024;"27";"22";"31";"22";"76";"20";"0";"0";"0";"1011";"0";"0";""
Lecce;28/6/2024;"26";"20";"31";"20";"72";"21";"3";"31";"0";"1013";"0";"0";""
Lecce;29/6/2024;"29";"25";"33";"21";"64";"20";"1";"26";"0";"1014";"0";"0";""
Lecce;30/6/2024;"29";"22";"37";"20";"63";"20";"0";"0";"0";"1013";"0";"0";""
