LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/7/2024;"30";"23";"37";"20";"58";"19";"0";"0";"0";"1010";"0";"0";""
Lecce;2/7/2024;"25";"22";"31";"23";"91";"16";"0";"0";"0";"1006";"0";"0";"pioggia temporale "
Lecce;3/7/2024;"26";"21";"31";"19";"69";"20";"0";"0";"0";"1005";"0";"0";"pioggia temporale "
Lecce;4/7/2024;"24";"20";"28";"17";"67";"21";"0";"0";"0";"1007";"0";"0";""
Lecce;5/7/2024;"24";"18";"29";"18";"72";"22";"0";"0";"0";"1013";"0";"0";""
Lecce;6/7/2024;"26";"18";"33";"17";"63";"19";"0";"0";"0";"1014";"0";"0";""
Lecce;7/7/2024;"27";"20";"33";"18";"64";"20";"0";"0";"0";"1013";"0";"0";""
Lecce;8/7/2024;"28";"21";"35";"19";"64";"20";"0";"0";"0";"1013";"0";"0";"nebbia "
Lecce;9/7/2024;"29";"24";"34";"22";"71";"19";"0";"0";"0";"1013";"0";"0";""
Lecce;10/7/2024;"30";"24";"35";"24";"73";"21";"0";"0";"0";"1013";"0";"0";""
Lecce;11/7/2024;"31";"25";"36";"21";"59";"19";"0";"0";"0";"1013";"0";"0";""
Lecce;12/7/2024;"31";"23";"37";"22";"63";"19";"0";"0";"0";"1011";"0";"0";""
Lecce;13/7/2024;"32";"24";"38";"23";"65";"19";"0";"0";"0";"1009";"0";"0";""
Lecce;14/7/2024;"32";"24";"39";"22";"64";"20";"0";"0";"0";"1010";"0";"0";""
Lecce;15/7/2024;"32";"24";"38";"21";"60";"19";"0";"0";"0";"1011";"0";"0";""
Lecce;16/7/2024;"32";"24";"39";"18";"49";"19";"0";"0";"0";"1011";"0";"0";""
Lecce;17/7/2024;"32";"23";"38";"20";"53";"19";"0";"0";"0";"1012";"0";"0";""
Lecce;18/7/2024;"32";"24";"38";"24";"64";"19";"0";"0";"0";"1013";"0";"0";""
Lecce;19/7/2024;"32";"26";"37";"24";"68";"20";"0";"0";"0";"1012";"0";"0";""
Lecce;20/7/2024;"32";"25";"38";"21";"57";"20";"0";"0";"0";"1009";"0";"0";""
Lecce;21/7/2024;"31";"27";"34";"25";"74";"20";"0";"0";"0";"1009";"0";"0";""
Lecce;22/7/2024;"30";"25";"35";"24";"72";"19";"0";"0";"0";"1010";"0";"0";""
Lecce;23/7/2024;"30";"26";"34";"23";"68";"20";"0";"0";"0";"1010";"0";"0";""
Lecce;24/7/2024;"30";"24";"35";"23";"70";"21";"0";"0";"0";"1009";"0";"0";""
Lecce;25/7/2024;"29";"25";"33";"20";"64";"20";"0";"0";"0";"1008";"0";"0";""
Lecce;26/7/2024;"28";"23";"33";"18";"61";"21";"0";"0";"0";"1010";"0";"0";""
Lecce;27/7/2024;"28";"20";"34";"19";"63";"20";"0";"0";"0";"1014";"0";"0";""
Lecce;28/7/2024;"28";"18";"36";"16";"56";"20";"0";"0";"0";"1016";"0";"0";""
Lecce;29/7/2024;"29";"20";"36";"21";"64";"22";"0";"0";"0";"1013";"0";"0";""
Lecce;30/7/2024;"30";"25";"33";"21";"62";"21";"4";"33";"0";"1012";"0";"0";""
Lecce;31/7/2024;"29";"25";"34";"18";"56";"18";"0";"0";"0";"1012";"0";"0";""
