LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/9/2024;"29";"23";"33";"21";"68";"19";"0";"0";"0";"1012";"0";"0";""
Lecce;2/9/2024;"29";"21";"35";"20";"65";"22";"0";"0";"0";"1012";"0";"0";""
Lecce;3/9/2024;"28";"21";"35";"23";"78";"20";"0";"0";"0";"1015";"0";"0";"pioggia temporale "
Lecce;4/9/2024;"27";"22";"33";"23";"81";"16";"1";"22";"0";"1014";"0";"0";"pioggia temporale "
Lecce;5/9/2024;"27";"24";"33";"25";"88";"15";"0";"0";"0";"1012";"0";"0";"pioggia temporale "
Lecce;6/9/2024;"28";"24";"33";"25";"85";"21";"0";"0";"0";"1012";"0";"0";"pioggia temporale "
Lecce;7/9/2024;"28";"24";"34";"24";"83";"12";"0";"0";"0";"1015";"0";"0";"pioggia temporale nebbia "
Lecce;8/9/2024;"28";"22";"34";"22";"75";"16";"0";"0";"0";"1014";"0";"0";""
Lecce;9/9/2024;"25";"23";"30";"24";"92";"10";"4";"39";"0";"1007";"0";"0";"pioggia temporale "
Lecce;10/9/2024;"24";"20";"28";"22";"85";"18";"1";"30";"0";"1003";"0";"0";"pioggia temporale "
Lecce;11/9/2024;"24";"20";"29";"19";"73";"18";"0";"0";"0";"1008";"0";"0";""
Lecce;12/9/2024;"26";"20";"32";"21";"79";"22";"0";"0";"0";"1009";"0";"0";""
Lecce;13/9/2024;"24";"21";"28";"20";"80";"21";"1";"37";"0";"1006";"0";"0";"pioggia temporale "
Lecce;14/9/2024;"20";"16";"24";"14";"69";"20";"0";"0";"0";"1010";"0";"0";"pioggia "
Lecce;15/9/2024;"19";"14";"24";"15";"79";"22";"0";"0";"0";"1011";"0";"0";""
Lecce;16/9/2024;"19";"16";"22";"15";"79";"18";"0";"0";"0";"1011";"0";"0";""
Lecce;17/9/2024;"21";"18";"25";"19";"88";"18";"2";"39";"0";"1011";"0";"0";"pioggia temporale "
Lecce;18/9/2024;"22";"18";"27";"19";"83";"19";"0";"0";"0";"1013";"0";"0";""
Lecce;19/9/2024;"23";"19";"27";"20";"86";"19";"0";"0";"0";"1013";"0";"0";"pioggia temporale "
Lecce;20/9/2024;"22";"20";"27";"20";"88";"19";"0";"0";"0";"1015";"0";"0";"pioggia temporale "
Lecce;21/9/2024;"22";"18";"26";"19";"85";"19";"0";"0";"0";"1018";"0";"0";""
Lecce;22/9/2024;"22";"16";"26";"19";"87";"16";"0";"0";"0";"1018";"0";"0";"nebbia "
Lecce;23/9/2024;"23";"19";"27";"20";"86";"22";"0";"0";"0";"1015";"0";"0";"pioggia temporale "
Lecce;24/9/2024;"24";"21";"29";"22";"89";"20";"0";"0";"0";"1014";"0";"0";"pioggia temporale "
Lecce;25/9/2024;"24";"19";"29";"21";"84";"21";"0";"0";"0";"1017";"0";"0";""
Lecce;26/9/2024;"24";"21";"29";"20";"80";"15";"0";"0";"0";"1016";"0";"0";"nebbia "
Lecce;27/9/2024;"25";"21";"31";"22";"84";"17";"0";"0";"0";"1014";"0";"0";""
Lecce;28/9/2024;"26";"22";"32";"22";"82";"15";"0";"0";"0";"1012";"0";"0";"nebbia "
Lecce;29/9/2024;"22";"18";"25";"14";"63";"20";"3";"37";"0";"1016";"0";"0";""
Lecce;30/9/2024;"19";"14";"22";"12";"67";"18";"1";"24";"0";"1018";"0";"0";""
