LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/8/2021;"27,6";"24,5";"31,7";"8,5";"30";"0";"14";"0";"56";"0";"1012";"0";""
Potenza;2/8/2021;"24,3";"21,4";"28,9";"10,7";"44";"0";"15";"0";"55";"0";"1014";"0";""
Potenza;3/8/2021;"23,3";"20,5";"26,6";"8,6";"40";"0";"12";"0";"67";"0";"1016";"0";""
Potenza;4/8/2021;"27,4";"21,8";"33";"7,6";"30";"0";"13";"0";"56";"0";"1014";"0";""
Potenza;5/8/2021;"22,1";"16,8";"25,7";"12";"55";"0";"20";"0";"64";"0";"1011";"0";""
Potenza;6/8/2021;"19,6";"15,7";"23,8";"13,6";"69";"0";"15";"0";"50";"0";"1011";"0";""
Potenza;7/8/2021;"23,7";"18,4";"28,9";"12";"49";"0";"8";"0";"43";"0";"1012";"0";""
Potenza;8/8/2021;"27,5";"23,3";"32,1";"9,2";"32";"0";"11";"0";"50";"0";"1014";"0";""
Potenza;9/8/2021;"27,8";"24,6";"32,1";"8,9";"30";"0";"11";"0";"46";"0";"1018";"0";""
Potenza;10/8/2021;"29,2";"25,3";"34,4";"8";"27";"0";"10";"0";"50";"0";"1018";"0";""
Potenza;11/8/2021;"28";"23,9";"33";"9,5";"32";"0";"9";"0";"53";"0";"1016";"0";""
Potenza;12/8/2021;"26";"22,9";"30,4";"11,8";"42";"0";"8";"0";"37";"0";"1019";"0";""
Potenza;13/8/2021;"27,1";"23,6";"31,6";"9,8";"35";"0";"6";"0";"37";"0";"1021";"0";""
Potenza;14/8/2021;"27,1";"24,8";"31,1";"8,5";"31";"0";"7";"0";"35";"0";"1020";"0";""
Potenza;15/8/2021;"26,9";"24";"31,6";"8,3";"32";"0";"5";"0";"32";"0";"1017";"0";""
Potenza;16/8/2021;"26,1";"23,6";"30,4";"10,8";"39";"0";"11";"0";"45";"0";"1014";"0";""
Potenza;17/8/2021;"24,5";"20,4";"29,7";"12,5";"50";"0";"15";"0";"53";"0";"1011";"0";""
Potenza;18/8/2021;"22,2";"19,6";"26,3";"12,8";"57";"0";"7";"0";"35";"0";"1012";"0";""
Potenza;19/8/2021;"22";"18,9";"26,7";"11,9";"53";"0";"5";"0";"32";"0";"1014";"0";""
Potenza;20/8/2021;"23";"20,7";"27,7";"11,4";"50";"0";"5";"0";"30";"0";"1015";"1,8";"pioggia "
Potenza;21/8/2021;"22,7";"20,5";"26,8";"11";"49";"0";"7";"0";"40";"0";"1017";"0";""
Potenza;22/8/2021;"23,7";"20,4";"29";"9,5";"45";"0";"5";"0";"30";"0";"1018";"0";""
Potenza;23/8/2021;"22,9";"20,2";"27,3";"10,9";"48";"0";"11";"0";"45";"0";"1015";"0";""
Potenza;24/8/2021;"23,5";"20,2";"28,7";"9,6";"43";"0";"7";"0";"46";"0";"1013";"0";""
Potenza;25/8/2021;"21,9";"19,4";"25,5";"14,1";"63";"0";"6";"0";"42";"0";"1013";"1,2";"pioggia "
Potenza;26/8/2021;"19,6";"16,5";"23,6";"15,5";"79";"0";"8";"0";"42";"0";"1011";"5,8";"pioggia "
Potenza;27/8/2021;"19,4";"16,1";"23,6";"13,7";"71";"0";"15";"0";"49";"0";"1011";"0";""
Potenza;28/8/2021;"19,3";"15,6";"23,3";"13,6";"70";"0";"14";"0";"59";"0";"1010";"0";""
Potenza;29/8/2021;"16,6";"14,7";"20,8";"11,7";"74";"0";"7";"0";"37";"0";"1011";"0";""
Potenza;30/8/2021;"18,1";"14,9";"22,4";"9,3";"58";"0";"5";"0";"42";"0";"1014";"0";""
Potenza;31/8/2021;"19,8";"16,5";"24,9";"9,6";"55";"0";"7";"0";"41";"0";"1016";"0";""
