LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/2/2022;"1,1";"-0,2";"3,6";"-0,4";"89";"0";"19";"0";"69";"0";"1005";"8,4";"pioggia neve "
Potenza;2/2/2022;"2,6";"-0,3";"6,7";"-3,3";"66";"0";"10";"0";"39";"0";"1012";"0";""
Potenza;3/2/2022;"2,5";"0,6";"5";"-2,3";"71";"0";"11";"0";"53";"0";"1022";"0,5";"pioggia "
Potenza;4/2/2022;"5,5";"3,7";"8,9";"-0,9";"64";"0";"14";"0";"61";"0";"1020";"0";""
Potenza;5/2/2022;"7,1";"4,1";"10,3";"3,5";"78";"0";"7";"0";"30";"0";"1018";"0";""
Potenza;6/2/2022;"7";"5";"10";"4,7";"86";"0";"7";"0";"54";"0";"1022";"0";""
Potenza;7/2/2022;"3,4";"-0,1";"5,3";"2,3";"91";"0";"26";"0";"94";"0";"1014";"5,4";"pioggia neve "
Potenza;8/2/2022;"0,7";"-1,5";"3,3";"-5,1";"65";"0";"17";"0";"70";"0";"1028";"0";""
Potenza;9/2/2022;"7,1";"2,5";"11,6";"-3,4";"47";"0";"7";"0";"27";"0";"1031";"0";""
Potenza;10/2/2022;"7,4";"4,8";"11,8";"0,3";"64";"0";"6";"0";"20";"0";"1027";"0";""
Potenza;11/2/2022;"7,8";"4,9";"12,3";"-0,2";"57";"0";"6";"0";"21";"0";"1023";"0";""
Potenza;12/2/2022;"5,7";"4,3";"7,2";"4,2";"89";"0";"7";"0";"27";"0";"1025";"2,1";"pioggia "
Potenza;13/2/2022;"5";"3,4";"7,7";"2,4";"84";"0";"3";"0";"18";"0";"1025";"0";""
Potenza;14/2/2022;"5,6";"3,7";"8,1";"2,7";"81";"0";"14";"0";"48";"0";"1021";"0";""
Potenza;15/2/2022;"6,1";"4,8";"8,4";"4,1";"87";"0";"18";"0";"60";"0";"1017";"6,9";"pioggia "
Potenza;16/2/2022;"5,2";"3,6";"7,8";"2,7";"84";"0";"9";"0";"39";"0";"1016";"1,3";"pioggia "
Potenza;17/2/2022;"6,4";"3,9";"9,9";"2,1";"75";"0";"10";"0";"46";"0";"1015";"0";""
Potenza;18/2/2022;"8,5";"5,7";"12,7";"5,4";"80";"0";"10";"0";"35";"0";"1017";"0";""
Potenza;19/2/2022;"9,9";"7,8";"13,3";"6";"77";"0";"12";"0";"40";"0";"1017";"0";""
Potenza;20/2/2022;"10";"7,6";"12,9";"6,8";"81";"0";"8";"0";"36";"0";"1017";"0";""
Potenza;21/2/2022;"5,7";"2,5";"7,3";"4,9";"92";"0";"27";"0";"88";"0";"1011";"1";"pioggia "
Potenza;22/2/2022;"0,4";"-1,1";"2,4";"0,3";"96";"0";"15";"0";"61";"0";"1009";"16,4";"pioggia neve "
Potenza;23/2/2022;"1,8";"-1,8";"6,1";"-1,5";"79";"0";"12";"0";"48";"0";"1022";"0";""
Potenza;24/2/2022;"4,6";"0,7";"9,1";"-2,2";"63";"0";"7";"0";"32";"0";"1024";"0";""
Potenza;25/2/2022;"5,3";"2,9";"8,8";"-0,1";"69";"0";"9";"0";"31";"0";"1019";"0";""
Potenza;26/2/2022;"2,4";"0,4";"5,3";"0,6";"87";"0";"6";"0";"23";"0";"1013";"12,2";"pioggia neve "
Potenza;27/2/2022;"-0,2";"-1,1";"0,8";"0,1";"98";"0";"10";"0";"53";"0";"1016";"12,8";"pioggia neve "
Potenza;28/2/2022;"0";"-2,1";"1,9";"-0,5";"95";"0";"8";"0";"34";"0";"1022";"0,7";"pioggia neve "
