LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/7/2022;"26,8";"23,1";"32,5";"12,1";"43";"0";"7";"0";"47";"0";"1015";"0";""
Potenza;2/7/2022;"26,8";"23,3";"31,5";"13,5";"45";"0";"8";"0";"34";"0";"1016";"0";""
Potenza;3/7/2022;"26";"21,7";"30,5";"11";"41";"0";"8";"0";"36";"0";"1017";"0";""
Potenza;4/7/2022;"26,9";"23,4";"31,7";"11,6";"39";"0";"8";"0";"38";"0";"1015";"0";""
Potenza;5/7/2022;"25,6";"22,1";"29,7";"13,2";"47";"0";"11";"0";"47";"0";"1015";"0";""
Potenza;6/7/2022;"24,9";"21,6";"29,4";"13,3";"49";"0";"9";"0";"43";"0";"1016";"0";""
Potenza;7/7/2022;"22,4";"18,3";"26,3";"14,4";"63";"0";"6";"0";"45";"0";"1015";"5,4";"pioggia "
Potenza;8/7/2022;"15,9";"13,5";"18,6";"12,8";"82";"0";"16";"0";"68";"0";"1015";"15,2";"pioggia "
Potenza;9/7/2022;"16,1";"13,3";"19,7";"11,6";"75";"0";"15";"0";"50";"0";"1017";"0,8";"pioggia "
Potenza;10/7/2022;"17,7";"13,8";"21,7";"10";"61";"0";"10";"0";"38";"0";"1016";"0";""
Potenza;11/7/2022;"19,9";"15,8";"23,6";"10,5";"55";"0";"7";"0";"32";"0";"1018";"0";""
Potenza;12/7/2022;"21,4";"17,9";"25,8";"11,7";"56";"0";"5";"0";"32";"0";"1020";"3,2";"pioggia "
Potenza;13/7/2022;"18,6";"16";"22";"10,8";"62";"0";"8";"0";"39";"0";"1022";"4,5";"pioggia "
Potenza;14/7/2022;"20,9";"16,9";"25,2";"8,3";"44";"0";"5";"0";"30";"0";"1020";"0";""
Potenza;15/7/2022;"24,5";"20,4";"29,6";"9,4";"41";"0";"5";"0";"29";"0";"1015";"0";""
Potenza;16/7/2022;"26,2";"22,3";"31,5";"12,4";"46";"0";"5";"0";"30";"0";"1016";"0";""
Potenza;17/7/2022;"27,2";"24,5";"31,5";"10,8";"37";"0";"7";"0";"36";"0";"1019";"0";""
Potenza;18/7/2022;"24,7";"21,4";"28,7";"13,2";"49";"0";"7";"0";"39";"0";"1020";"0,6";"pioggia "
Potenza;19/7/2022;"24,3";"21,1";"29,1";"9,8";"41";"0";"7";"0";"34";"0";"1019";"0";""
Potenza;20/7/2022;"24,9";"21,3";"29,7";"7,8";"35";"0";"7";"0";"37";"0";"1019";"0";""
Potenza;21/7/2022;"26,4";"22,9";"31,3";"8,7";"35";"0";"5";"0";"28";"0";"1017";"0";""
Potenza;22/7/2022;"27,2";"23,2";"32,7";"10,5";"39";"0";"6";"0";"32";"0";"1017";"0";""
Potenza;23/7/2022;"26,9";"23,9";"31,6";"15,3";"52";"0";"7";"0";"41";"0";"1017";"0";""
Potenza;24/7/2022;"27";"23,7";"32,2";"15,2";"51";"0";"8";"0";"34";"0";"1017";"0";""
Potenza;25/7/2022;"26,5";"23,1";"31,1";"16,3";"56";"0";"8";"0";"34";"0";"1014";"0";""
Potenza;26/7/2022;"25,1";"21,6";"29,6";"17";"63";"0";"9";"0";"42";"0";"1012";"0";""
Potenza;27/7/2022;"25,5";"22,3";"29,7";"15,6";"56";"0";"5";"0";"45";"0";"1011";"0,5";"pioggia "
Potenza;28/7/2022;"24,8";"21,5";"29";"16";"59";"0";"4";"0";"28";"0";"1013";"0";""
Potenza;29/7/2022;"25";"22,1";"29,5";"15,8";"58";"0";"5";"0";"28";"0";"1015";"0";""
Potenza;30/7/2022;"24,3";"20,9";"28,9";"15";"59";"0";"9";"0";"40";"0";"1014";"0,5";"pioggia "
Potenza;31/7/2022;"21,9";"18,5";"26";"12,1";"57";"0";"10";"0";"42";"0";"1015";"0";""
