LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/5/2022;"13";"9,9";"16,8";"5";"60";"0";"5";"0";"33";"0";"1014";"1,2";"pioggia "
Potenza;2/5/2022;"9,7";"7,9";"12";"6,5";"81";"0";"6";"0";"28";"0";"1012";"8,2";"pioggia "
Potenza;3/5/2022;"10,2";"7,6";"14";"6,5";"78";"0";"7";"0";"29";"0";"1014";"5,3";"pioggia "
Potenza;4/5/2022;"12,3";"8,3";"16,1";"7,2";"71";"0";"4";"0";"27";"0";"1018";"8,1";"pioggia "
Potenza;5/5/2022;"15,6";"12,3";"19,8";"7,6";"60";"0";"6";"0";"34";"0";"1018";"1,3";"pioggia "
Potenza;6/5/2022;"11,6";"10,1";"14";"9,6";"87";"0";"17";"0";"68";"0";"1014";"5,5";"pioggia "
Potenza;7/5/2022;"9,7";"8,9";"11";"9,7";"98";"0";"18";"0";"61";"0";"1013";"11,4";"pioggia "
Potenza;8/5/2022;"10,7";"9";"13,1";"9,1";"89";"0";"10";"0";"41";"0";"1015";"7,1";"pioggia "
Potenza;9/5/2022;"12,8";"9,3";"17,2";"8,9";"78";"0";"9";"0";"40";"0";"1019";"1";"pioggia "
Potenza;10/5/2022;"14,1";"11,7";"17,4";"9,2";"72";"0";"5";"0";"28";"0";"1020";"2,8";"pioggia "
Potenza;11/5/2022;"14,4";"11,7";"18,3";"9,2";"71";"0";"6";"0";"25";"0";"1021";"9,3";"pioggia "
Potenza;12/5/2022;"16,1";"12,6";"21,6";"9,7";"66";"0";"6";"0";"24";"0";"1022";"0";""
Potenza;13/5/2022;"17";"13,4";"22,2";"10,4";"66";"0";"6";"0";"25";"0";"1020";"0";""
Potenza;14/5/2022;"17";"13,9";"21,7";"12,2";"73";"0";"8";"0";"29";"0";"1019";"0";""
Potenza;15/5/2022;"18,1";"15";"22,7";"11,7";"67";"0";"4";"0";"24";"0";"1018";"0,9";"pioggia "
Potenza;16/5/2022;"18,1";"15,8";"22,1";"12,3";"70";"0";"5";"0";"23";"0";"1019";"0,5";"pioggia "
Potenza;17/5/2022;"17,2";"15,1";"20,3";"13,2";"77";"0";"7";"0";"40";"0";"1018";"4,4";"pioggia "
Potenza;18/5/2022;"15,8";"11,5";"19,8";"10,1";"69";"0";"13";"0";"52";"0";"1019";"0";""
Potenza;19/5/2022;"14,7";"10,4";"18,9";"5,1";"56";"0";"10";"0";"41";"0";"1025";"0";""
Potenza;20/5/2022;"17,7";"14,7";"22,7";"2,8";"39";"0";"6";"0";"29";"0";"1026";"0";""
Potenza;21/5/2022;"17,5";"14,2";"22,4";"10,1";"62";"0";"10";"0";"38";"0";"1020";"0";""
Potenza;22/5/2022;"18,7";"15,1";"23,4";"12,7";"68";"0";"8";"0";"28";"0";"1014";"0";""
Potenza;23/5/2022;"19,7";"16,5";"24,1";"12";"62";"0";"10";"0";"40";"0";"1011";"0";""
Potenza;24/5/2022;"21,5";"17,5";"26,1";"9,1";"46";"0";"11";"0";"41";"0";"1010";"0";""
Potenza;25/5/2022;"23,2";"20,1";"27,7";"8,8";"41";"0";"7";"0";"31";"0";"1014";"0";""
Potenza;26/5/2022;"23,4";"20,6";"27,3";"10,5";"45";"0";"5";"0";"23";"0";"1018";"1,2";"pioggia "
Potenza;27/5/2022;"21,6";"18,7";"24,5";"13,1";"58";"0";"7";"0";"31";"0";"1016";"0";""
Potenza;28/5/2022;"20,4";"15,4";"24,8";"8,4";"49";"0";"10";"0";"46";"0";"1007";"0";""
Potenza;29/5/2022;"16,6";"14,3";"20,2";"13,1";"80";"0";"11";"0";"47";"0";"1005";"1,1";"pioggia "
Potenza;30/5/2022;"18,8";"14,1";"23,9";"10,2";"59";"0";"12";"0";"46";"0";"1011";"0";""
Potenza;31/5/2022;"20,8";"17,9";"24,6";"8,9";"47";"0";"12";"0";"55";"0";"1014";"0";""
