LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/3/2022;"-2,4";"-3,5";"-1,4";"-3,7";"91";"0";"11";"0";"41";"0";"1023";"2,9";"pioggia neve "
Potenza;2/3/2022;"-1,4";"-3,4";"0,7";"-3,3";"87";"0";"11";"0";"42";"0";"1022";"0";"neve "
Potenza;3/3/2022;"2,7";"-1,1";"6,3";"-3,4";"65";"0";"7";"0";"24";"0";"1018";"0";""
Potenza;4/3/2022;"4,3";"1,6";"8";"-0,7";"71";"0";"3";"0";"18";"0";"1012";"1,2";"pioggia neve "
Potenza;5/3/2022;"0,2";"-1,7";"2,2";"-0,3";"96";"0";"8";"0";"32";"0";"1009";"21";"pioggia neve "
Potenza;6/3/2022;"-0,2";"-1,7";"2,1";"-1,7";"88";"0";"6";"0";"31";"0";"1013";"0";""
Potenza;7/3/2022;"-0";"-1,6";"2";"-1,5";"89";"0";"7";"0";"29";"0";"1014";"0,7";"pioggia neve "
Potenza;8/3/2022;"-2,1";"-4,5";"-0,1";"-4,5";"84";"0";"14";"0";"51";"0";"1016";"3,6";"pioggia neve "
Potenza;9/3/2022;"-0,9";"-3,1";"1,1";"-4,7";"75";"0";"14";"0";"59";"0";"1020";"0";"neve "
Potenza;10/3/2022;"1,9";"-0,7";"5";"-1";"81";"0";"11";"0";"50";"0";"1024";"0,9";"pioggia neve "
Potenza;11/3/2022;"0,6";"-1,1";"2,9";"-3,2";"76";"0";"7";"0";"33";"0";"1026";"0";"neve "
Potenza;12/3/2022;"0,1";"-2,6";"2,8";"-4,5";"71";"0";"9";"0";"36";"0";"1027";"0";""
Potenza;13/3/2022;"2,1";"-2,5";"6,7";"-5,3";"58";"0";"6";"0";"25";"0";"1026";"0";""
Potenza;14/3/2022;"5,4";"2,8";"9,4";"-0,6";"65";"0";"6";"0";"30";"0";"1031";"0";""
Potenza;15/3/2022;"6,8";"4,1";"11,4";"-0";"62";"0";"4";"0";"15";"0";"1033";"0";""
Potenza;16/3/2022;"9,4";"5,4";"14,2";"1,8";"60";"0";"7";"0";"27";"0";"1025";"0";""
Potenza;17/3/2022;"8,3";"6,6";"11,1";"5";"80";"0";"11";"0";"37";"0";"1024";"0,8";"pioggia "
Potenza;18/3/2022;"7,2";"5,8";"8,9";"5,6";"90";"0";"14";"0";"44";"0";"1027";"4,6";"pioggia "
Potenza;19/3/2022;"4,2";"1";"5,9";"3,4";"93";"0";"15";"0";"45";"0";"1030";"5,3";"pioggia "
Potenza;20/3/2022;"1,5";"-0,6";"4,5";"-2,3";"76";"0";"10";"0";"40";"0";"1032";"1,1";"pioggia neve "
Potenza;21/3/2022;"1,5";"-1";"5";"-4";"67";"0";"11";"0";"43";"0";"1032";"0,8";"pioggia neve "
Potenza;22/3/2022;"3,3";"-0,3";"6,9";"-2";"69";"0";"11";"0";"44";"0";"1031";"0";""
Potenza;23/3/2022;"7";"2,8";"11,2";"-1,3";"56";"0";"9";"0";"37";"0";"1028";"0";""
Potenza;24/3/2022;"8,9";"6";"13,5";"-2";"47";"0";"6";"0";"26";"0";"1026";"0";""
Potenza;25/3/2022;"10,3";"6";"14,9";"0,5";"51";"0";"6";"0";"19";"0";"1025";"0";""
Potenza;26/3/2022;"10,9";"7,3";"14,8";"-1,3";"43";"0";"8";"0";"34";"0";"1024";"0";""
Potenza;27/3/2022;"7,9";"5,5";"11,5";"1,1";"64";"0";"12";"0";"48";"0";"1025";"2,7";"pioggia "
Potenza;28/3/2022;"5,8";"5,1";"7";"5,6";"97";"0";"7";"0";"32";"0";"1024";"8,8";"pioggia "
Potenza;29/3/2022;"7,9";"5,5";"11,2";"3,4";"73";"0";"8";"0";"33";"0";"1016";"0";""
Potenza;30/3/2022;"9,4";"6,5";"11,8";"6,4";"81";"0";"10";"0";"50";"0";"1006";"3,4";"pioggia "
Potenza;31/3/2022;"10,2";"8";"12,7";"8,5";"89";"0";"19";"0";"69";"0";"996";"13,3";"pioggia "
