LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/11/2022;"18,7";"15,5";"22,8";"5,3";"42";"0";"3";"0";"14";"0";"1023";"0";""
Potenza;2/11/2022;"15,2";"12";"19,5";"6,4";"57";"0";"7";"0";"30";"0";"1023";"0";""
Potenza;3/11/2022;"13";"11";"17,1";"8,2";"73";"0";"7";"0";"29";"0";"1020";"0";""
Potenza;4/11/2022;"12,2";"10,8";"13,9";"9,5";"84";"0";"14";"0";"54";"0";"1010";"11,8";"pioggia "
Potenza;5/11/2022;"9,6";"7,9";"11,1";"8,2";"91";"0";"7";"0";"35";"0";"1004";"20,2";"pioggia "
Potenza;6/11/2022;"8";"7,2";"8,7";"7,8";"96";"0";"9";"0";"41";"0";"1013";"4,4";"pioggia "
Potenza;7/11/2022;"10,6";"7,4";"14";"6,3";"75";"0";"4";"0";"23";"0";"1020";"0";""
Potenza;8/11/2022;"12,5";"9,9";"15,9";"6,4";"66";"0";"3";"0";"15";"0";"1021";"0";""
Potenza;9/11/2022;"12,1";"10";"16";"6,5";"69";"0";"5";"0";"17";"0";"1021";"0";""
Potenza;10/11/2022;"12,3";"10,1";"15,3";"6,9";"70";"0";"5";"0";"20";"0";"1023";"0";""
Potenza;11/11/2022;"11,2";"9,1";"13,1";"9,4";"89";"0";"10";"0";"40";"0";"1029";"0,9";"pioggia "
Potenza;12/11/2022;"8";"6,2";"9,3";"7,4";"95";"0";"12";"0";"42";"0";"1026";"6,8";"pioggia "
Potenza;13/11/2022;"8,3";"5,6";"11,6";"5,3";"81";"0";"6";"0";"34";"0";"1022";"12,7";"pioggia "
Potenza;14/11/2022;"10,6";"8,6";"13,6";"6,9";"78";"0";"8";"0";"37";"0";"1020";"0,6";"pioggia "
Potenza;15/11/2022;"10,4";"9,2";"12,8";"7,2";"80";"0";"8";"0";"33";"0";"1018";"0";""
Potenza;16/11/2022;"12";"10,7";"13,2";"9,4";"84";"0";"17";"0";"58";"0";"1007";"4,8";"pioggia "
Potenza;17/11/2022;"12,7";"11,3";"15,1";"10";"84";"0";"15";"0";"46";"0";"1005";"0";""
Potenza;18/11/2022;"11,8";"10,3";"13,7";"10,3";"90";"0";"19";"0";"74";"0";"1004";"3,9";"pioggia "
Potenza;19/11/2022;"11";"9,7";"12,7";"9,9";"93";"0";"14";"0";"57";"0";"1006";"5,4";"pioggia "
Potenza;20/11/2022;"8,3";"6,1";"9,9";"7,1";"92";"0";"12";"0";"58";"0";"1007";"4,1";"pioggia "
Potenza;21/11/2022;"7,1";"5,4";"9,9";"3,3";"78";"0";"11";"0";"42";"0";"1011";"0";""
Potenza;22/11/2022;"6,6";"4,5";"8,2";"6,6";"98";"0";"27";"0";"86";"0";"999";"28,3";"pioggia "
Potenza;23/11/2022;"5,9";"3,8";"8,8";"3,6";"84";"0";"16";"0";"68";"0";"1004";"0";""
Potenza;24/11/2022;"7,9";"5,5";"11,2";"3,8";"75";"0";"6";"0";"28";"0";"1013";"0";""
Potenza;25/11/2022;"7,8";"5,4";"11";"2,6";"71";"0";"3";"0";"19";"0";"1019";"3,7";"pioggia "
Potenza;26/11/2022;"5,7";"4,2";"7,5";"5,5";"96";"0";"16";"0";"60";"0";"1018";"27,9";"pioggia "
Potenza;27/11/2022;"4,5";"3,5";"5,9";"4,3";"96";"0";"12";"0";"52";"0";"1022";"8,1";"pioggia "
Potenza;28/11/2022;"5,1";"3,9";"7,8";"2,6";"84";"0";"5";"0";"21";"0";"1018";"0";""
Potenza;29/11/2022;"5,1";"3,6";"7,3";"2,7";"85";"0";"8";"0";"34";"0";"1012";"0";""
Potenza;30/11/2022;"4,7";"3,8";"5,4";"5";"99";"0";"15";"0";"46";"0";"1011";"39";"pioggia "
