LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/4/2023;"9,1";"7";"12,1";"5,5";"79";"0";"20";"0";"70";"0";"1008";"0";""
Potenza;2/4/2023;"8,5";"5,8";"12,4";"4,8";"79";"0";"10";"0";"36";"0";"1007";"1,4";"pioggia "
Potenza;3/4/2023;"4,4";"2,4";"5,7";"5,3";"99";"0";"23";"0";"76";"0";"1003";"21,8";"pioggia "
Potenza;4/4/2023;"1,9";"0,4";"3,4";"0,4";"90";"0";"13";"0";"45";"0";"1010";"4";"pioggia neve "
Potenza;5/4/2023;"2";"0,9";"3,8";"0,6";"90";"0";"8";"0";"32";"0";"1014";"11,7";"pioggia neve "
Potenza;6/4/2023;"1,5";"0,3";"3,7";"-1,5";"81";"0";"11";"0";"39";"0";"1017";"0,7";"pioggia neve "
Potenza;7/4/2023;"4,7";"0,8";"9";"-1,2";"66";"0";"8";"0";"34";"0";"1017";"0";""
Potenza;8/4/2023;"5,8";"3,6";"9,2";"1,6";"75";"0";"8";"0";"35";"0";"1016";"1,7";"pioggia "
Potenza;9/4/2023;"4,4";"3,1";"6,1";"3,4";"92";"0";"8";"0";"37";"0";"1017";"5,2";"pioggia neve "
Potenza;10/4/2023;"3,7";"2,2";"5";"2,9";"94";"0";"12";"0";"54";"0";"1019";"6,1";"pioggia neve "
Potenza;11/4/2023;"7,9";"3,9";"12,9";"2,8";"72";"0";"11";"0";"39";"0";"1017";"0";""
Potenza;12/4/2023;"9,5";"6,2";"12,5";"6,1";"79";"0";"12";"0";"42";"0";"1012";"0";""
Potenza;13/4/2023;"11,1";"6";"15,9";"5,9";"71";"0";"16";"0";"63";"0";"1005";"0";""
Potenza;14/4/2023;"5,4";"3,7";"7,3";"3,1";"85";"0";"23";"0";"67";"0";"1008";"0,7";"pioggia "
Potenza;15/4/2023;"6,1";"4,2";"8,4";"4,3";"88";"0";"15";"0";"53";"0";"1009";"5,2";"pioggia "
Potenza;16/4/2023;"6,1";"5,3";"7,2";"5,3";"94";"0";"8";"0";"39";"0";"1005";"22,4";"pioggia "
Potenza;17/4/2023;"6,3";"4,8";"8";"5,9";"97";"0";"9";"0";"42";"0";"1008";"15,9";"pioggia "
Potenza;18/4/2023;"8,2";"6,5";"10,9";"5,9";"86";"0";"5";"0";"30";"0";"1012";"7,2";"pioggia "
Potenza;19/4/2023;"8,5";"6,5";"12";"6,4";"86";"0";"6";"0";"28";"0";"1014";"6,7";"pioggia "
Potenza;20/4/2023;"10,6";"6,6";"14,2";"6,3";"75";"0";"4";"0";"27";"0";"1012";"1,4";"pioggia "
Potenza;21/4/2023;"12,1";"9,6";"15,1";"6,8";"71";"0";"5";"0";"27";"0";"1012";"2,2";"pioggia "
Potenza;22/4/2023;"11,9";"9,1";"15,3";"6,8";"71";"0";"4";"0";"24";"0";"1014";"0";""
Potenza;23/4/2023;"12,3";"10,3";"15,5";"6,7";"68";"0";"10";"0";"35";"0";"1015";"0";""
Potenza;24/4/2023;"10,4";"8,4";"12,2";"6,8";"79";"0";"22";"0";"70";"0";"1011";"1,2";"pioggia "
Potenza;25/4/2023;"9,4";"7,7";"11,9";"7,6";"87";"0";"21";"0";"62";"0";"1009";"0";""
Potenza;26/4/2023;"8,4";"6,5";"10,5";"4,6";"77";"0";"11";"0";"45";"0";"1013";"0";""
Potenza;27/4/2023;"11";"8,1";"15,1";"1,3";"51";"0";"4";"0";"24";"0";"1018";"0";""
Potenza;28/4/2023;"12,5";"10,3";"16";"3,7";"55";"0";"8";"0";"39";"0";"1019";"0";""
Potenza;29/4/2023;"12,6";"9,9";"16,5";"5,6";"63";"0";"9";"0";"40";"0";"1015";"4,4";"pioggia "
Potenza;30/4/2023;"11,7";"10,2";"13";"10,4";"91";"0";"7";"0";"35";"0";"1013";"11,8";"pioggia "
