LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/1/2023;"12,9";"11,5";"15,4";"4,4";"56";"0";"2";"0";"12";"0";"1031";"0";""
Potenza;2/1/2023;"9,9";"6,7";"13";"5";"72";"0";"4";"0";"20";"0";"1029";"0";""
Potenza;3/1/2023;"7,7";"5,7";"10,8";"4,5";"80";"0";"4";"0";"17";"0";"1029";"0";""
Potenza;4/1/2023;"7,6";"6,4";"10,7";"5,3";"85";"0";"5";"0";"23";"0";"1029";"0";""
Potenza;5/1/2023;"8,2";"6,4";"11,7";"5";"80";"0";"7";"0";"36";"0";"1025";"0";""
Potenza;6/1/2023;"7,8";"6,5";"10,2";"5,5";"85";"0";"4";"0";"18";"0";"1024";"0";""
Potenza;7/1/2023;"7,9";"5,7";"11,6";"3,4";"73";"0";"2";"0";"18";"0";"1023";"0";""
Potenza;8/1/2023;"8";"6,6";"10";"5,2";"82";"0";"16";"0";"59";"0";"1021";"0";""
Potenza;9/1/2023;"7,2";"4,7";"8,4";"5,9";"91";"0";"25";"0";"77";"0";"1009";"8,3";"pioggia "
Potenza;10/1/2023;"2,4";"1,4";"4,1";"2,2";"97";"0";"16";"0";"61";"0";"1012";"4,5";"pioggia neve "
Potenza;11/1/2023;"2,9";"1,4";"5,6";"-0,9";"76";"0";"12";"0";"51";"0";"1020";"0";""
Potenza;12/1/2023;"4,3";"3";"5,9";"0,7";"79";"0";"8";"0";"35";"0";"1020";"1,2";"pioggia "
Potenza;13/1/2023;"6";"3,2";"9,1";"3,2";"83";"0";"9";"0";"40";"0";"1021";"0";""
Potenza;14/1/2023;"5,1";"2,6";"7,5";"4,1";"92";"0";"9";"0";"39";"0";"1021";"0,8";"pioggia "
Potenza;15/1/2023;"5,6";"2";"9,3";"2,3";"79";"0";"13";"0";"52";"0";"1018";"0";""
Potenza;16/1/2023;"7,1";"6,5";"8,5";"5,7";"91";"0";"23";"0";"74";"0";"1005";"3,1";"pioggia "
Potenza;17/1/2023;"7";"6";"8";"7";"98";"0";"26";"0";"84";"0";"997";"39,7";"pioggia "
Potenza;18/1/2023;"6,2";"5";"7,1";"5,5";"95";"0";"21";"0";"76";"0";"999";"5,8";"pioggia "
Potenza;19/1/2023;"2,6";"0,6";"4,5";"1,9";"94";"0";"15";"0";"55";"0";"1004";"3,2";"pioggia "
Potenza;20/1/2023;"1";"-0,1";"2";"-0,1";"91";"0";"11";"0";"42";"0";"1002";"10,5";"pioggia neve "
Potenza;21/1/2023;"0";"-1,1";"2,1";"-0,3";"96";"0";"9";"0";"45";"0";"1003";"6";"pioggia neve "
Potenza;22/1/2023;"0,8";"-0,8";"2,5";"-0";"93";"0";"6";"0";"31";"0";"1011";"19,6";"pioggia neve "
Potenza;23/1/2023;"-0,7";"-2,6";"0,9";"-1,3";"95";"0";"10";"0";"38";"0";"1016";"3,6";"pioggia neve "
Potenza;24/1/2023;"1,8";"-2,3";"5,6";"-0,9";"82";"0";"6";"0";"26";"0";"1024";"0";""
Potenza;25/1/2023;"3,2";"2,3";"3,9";"2,8";"97";"0";"8";"0";"42";"0";"1019";"4,3";"pioggia neve "
Potenza;26/1/2023;"2,3";"0,9";"3,9";"2,1";"98";"0";"5";"0";"23";"0";"1008";"25,2";"pioggia neve "
Potenza;27/1/2023;"0,9";"0,4";"1,7";"0,6";"97";"0";"6";"0";"29";"0";"1007";"6,6";"pioggia neve "
Potenza;28/1/2023;"1,2";"-0,5";"2,5";"0,2";"93";"0";"5";"0";"24";"0";"1014";"0,7";"pioggia "
Potenza;29/1/2023;"1,2";"0,5";"2,7";"-0,1";"91";"0";"9";"0";"34";"0";"1021";"0,7";"pioggia neve "
Potenza;30/1/2023;"1,9";"0,3";"4,8";"-0,4";"85";"0";"9";"0";"36";"0";"1019";"0";""
Potenza;31/1/2023;"2,2";"0,5";"4,7";"-2,4";"72";"0";"11";"0";"46";"0";"1021";"0";""
