LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/6/2024;"15,9";"14,3";"18";"12,5";"80";"0";"13";"0";"59";"0";"1015";"4,3";"pioggia "
Potenza;2/6/2024;"17,5";"14,9";"21,6";"12,8";"74";"0";"7";"0";"42";"0";"1015";"4,6";"pioggia "
Potenza;3/6/2024;"16,2";"12,6";"20,3";"11,2";"73";"0";"11";"0";"45";"0";"1015";"3,5";"pioggia "
Potenza;4/6/2024;"17,5";"12,8";"22,7";"10,2";"65";"0";"4";"0";"23";"0";"1015";"0";""
Potenza;5/6/2024;"19";"15,8";"23,7";"10,2";"58";"0";"5";"0";"23";"0";"1016";"0";""
Potenza;6/6/2024;"21";"17,1";"25,8";"9,9";"51";"0";"5";"0";"28";"0";"1018";"0";""
Potenza;7/6/2024;"22";"18,3";"26,8";"13,1";"59";"0";"7";"0";"37";"0";"1018";"0";""
Potenza;8/6/2024;"24,2";"19,7";"29,2";"13,4";"53";"0";"5";"0";"26";"0";"1015";"0";""
Potenza;9/6/2024;"25,8";"22,2";"30,7";"9,6";"38";"0";"9";"0";"43";"0";"1011";"0";""
Potenza;10/6/2024;"21,4";"16,6";"24,4";"9,9";"49";"0";"17";"0";"58";"0";"1009";"0";""
Potenza;11/6/2024;"20,4";"16,1";"24,6";"12,3";"61";"0";"11";"0";"48";"0";"1012";"0";""
Potenza;12/6/2024;"22";"18";"26,5";"11,5";"53";"0";"11";"0";"46";"0";"1013";"0";""
Potenza;13/6/2024;"18,3";"13,6";"22,8";"10,7";"63";"0";"14";"0";"55";"0";"1015";"0";""
Potenza;14/6/2024;"17";"12,8";"22,2";"7,7";"56";"0";"9";"0";"39";"0";"1018";"0";""
Potenza;15/6/2024;"20,2";"15,6";"25,6";"7,3";"46";"0";"9";"0";"38";"0";"1015";"0";""
Potenza;16/6/2024;"21,1";"18,1";"25,8";"8,7";"47";"0";"13";"0";"50";"0";"1013";"0";""
Potenza;17/6/2024;"23";"18";"28,4";"9,9";"45";"0";"7";"0";"36";"0";"1016";"0";""
Potenza;18/6/2024;"26,1";"22,7";"31,1";"9";"35";"0";"4";"0";"29";"0";"1018";"0";""
Potenza;19/6/2024;"27,6";"23,5";"32,9";"11,7";"39";"0";"5";"0";"26";"0";"1018";"0";""
Potenza;20/6/2024;"29,3";"25,2";"33,7";"10,3";"32";"0";"8";"0";"39";"0";"1019";"0";""
Potenza;21/6/2024;"29,8";"25,6";"34,4";"10,4";"31";"0";"7";"0";"32";"0";"1016";"0";""
Potenza;22/6/2024;"23,9";"16,9";"28,4";"14,1";"57";"0";"15";"0";"52";"0";"1013";"0";""
Potenza;23/6/2024;"19,2";"15,8";"24,1";"12,1";"66";"0";"12";"0";"48";"0";"1011";"0";""
Potenza;24/6/2024;"21,1";"17,4";"25,9";"11,6";"57";"0";"9";"0";"47";"0";"1012";"0";""
Potenza;25/6/2024;"19,9";"18,3";"21,9";"12,3";"62";"0";"10";"0";"42";"0";"1013";"5,5";"pioggia "
Potenza;26/6/2024;"20,9";"16,8";"25,2";"12,1";"59";"0";"9";"0";"45";"0";"1011";"0,5";"pioggia "
Potenza;27/6/2024;"19,8";"16";"24,6";"13,3";"68";"0";"12";"0";"46";"0";"1014";"0";""
Potenza;28/6/2024;"23,1";"18,6";"28";"12";"51";"0";"10";"0";"42";"0";"1017";"0";""
Potenza;29/6/2024;"25";"20,9";"29,6";"13,3";"49";"0";"9";"0";"39";"0";"1018";"0";""
Potenza;30/6/2024;"25,9";"21,8";"30,8";"13,6";"48";"0";"14";"0";"51";"0";"1015";"0";""
