LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/10/2025;"13,9";"9,1";"18,6";"10,3";"78";"21509";"2";"0";"10";"1015";"0";"4";"pioggia "
Potenza;2/10/2025;"9,3";"4,4";"13,4";"4";"69";"42337";"6";"0";"11";"1014";"0";"1,6";"pioggia "
Potenza;3/10/2025;"7,3";"5,1";"10,3";"2,8";"73";"33034";"6";"0";"17";"1016";"0";"1";"pioggia "
Potenza;4/10/2025;"10,1";"4,3";"15";"3";"61";"44832";"4";"0";"11";"1017";"0";"0";""
Potenza;5/10/2025;"11,9";"7,5";"15,7";"8,3";"78";"27228";"5";"0";"10";"1013";"0";"4,9";"pioggia "
Potenza;6/10/2025;"9,6";"6,4";"13,2";"4,2";"68";"39917";"6";"0";"12";"1017";"0";"0";""
Potenza;7/10/2025;"9,7";"6,2";"12,8";"4,3";"69";"29417";"6";"0";"12";"1019";"0";"0,4";"pioggia "
Potenza;8/10/2025;"10,5";"6";"14,7";"5,1";"69";"40236";"5";"0";"12";"1019";"0";"0";""
Potenza;9/10/2025;"11,6";"6";"18,3";"4,8";"62";"52667";"1";"0";"3";"1021";"0";"0";""
Potenza;10/10/2025;"12,9";"8,3";"17,7";"5,9";"62";"42419";"2";"0";"4";"1025";"0";"0";""
Potenza;11/10/2025;"12,6";"7,6";"17,7";"8,7";"77";"46829";"3";"0";"7";"1026";"0";"0";""
Potenza;12/10/2025;"12,8";"7,6";"18";"8,6";"75";"34533";"2";"0";"3";"1024";"0";"0";""
Potenza;13/10/2025;"12,9";"8,4";"17,9";"6,2";"63";"43293";"2";"0";"3";"1021";"0";"0";""
Potenza;14/10/2025;"13,5";"8,4";"18,9";"7,8";"68";"53148";"1";"0";"2";"1020";"0";"0,1";""
Potenza;15/10/2025;"12";"8,9";"14,8";"10,2";"88";"8693";"3";"0";"7";"1019";"0";"4,8";"pioggia "
Potenza;16/10/2025;"10,5";"9,4";"11,4";"10";"97";"3455";"3";"0";"6";"1016";"0";"6,3";"pioggia "
Potenza;17/10/2025;"11,8";"10";"13,5";"11,1";"95";"4387";"2";"0";"4";"1016";"0";"5,5";"pioggia nebbia "
Potenza;18/10/2025;"12,8";"9,9";"16,3";"10,2";"84";"21938";"1";"0";"3";"1020";"0";"4,9";"pioggia "
Potenza;19/10/2025;"10,4";"6,1";"14,4";"8,5";"87";"23146";"2";"0";"4";"1020";"0";"0,3";""
Potenza;20/10/2025;"11,9";"6,8";"16,7";"7,2";"73";"34669";"2";"0";"5";"1014";"0";"0";""
Potenza;21/10/2025;"12,7";"9";"15,2";"9,8";"82";"23003";"4";"0";"9";"1010";"0";"0,9";"pioggia "
Potenza;22/10/2025;"13,8";"11";"16,9";"11,5";"86";"13897";"3";"0";"7";"1010";"0";"3,7";"pioggia "
Potenza;23/10/2025;"14,7";"10,9";"18,9";"11,9";"83";"32412";"6";"0";"12";"1008";"0";"0";""
Potenza;24/10/2025;"12,6";"9,5";"16,1";"8,9";"77";"36775";"7";"0";"14";"1010";"0";"0";""
Potenza;25/10/2025;"13";"9,9";"15,7";"9,7";"80";"32363";"6";"0";"12";"1013";"0";"1,6";"pioggia "
Potenza;26/10/2025;"14,2";"10,7";"18,4";"11,6";"84";"18401";"7";"0";"13";"1008";"0";"2,1";"pioggia "
Potenza;27/10/2025;"11,3";"9,3";"14,6";"8,1";"80";"31670";"6";"0";"14";"1010";"0";"0,4";"pioggia "
Potenza;28/10/2025;"11,6";"8";"15,5";"8,2";"79";"33924";"2";"0";"10";"1017";"0";"0,1";""
Potenza;29/10/2025;"11,8";"8,4";"17,3";"8,8";"81";"30719";"2";"0";"7";"1020";"0";"0";""
Potenza;30/10/2025;"12,7";"8,6";"17,7";"9,4";"80";"33997";"2";"0";"6";"1017";"0";"0";""
Potenza;31/10/2025;"14";"10,9";"17,9";"10,7";"80";"26031";"2";"0";"5";"1017";"0";"0,3";""
