LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/9/2025;"20,8";"14,1";"26,8";"11,1";"54";"24200";"2";"0";"7";"1015";"0";"0";""
Potenza;2/9/2025;"20,8";"14,9";"25,4";"13,3";"62";"23025";"5";"0";"11";"1015";"0";"1";"pioggia "
Potenza;3/9/2025;"19,6";"14,1";"26";"10,9";"57";"26767";"2";"0";"8";"1016";"0";"0";""
Potenza;4/9/2025;"18,6";"12,6";"24,6";"9,5";"55";"52636";"3";"0";"5";"1015";"0";"0";""
Potenza;5/9/2025;"20,7";"12,4";"28";"11,9";"57";"76501";"3";"0";"6";"1017";"0";"0";""
Potenza;6/9/2025;"20,5";"12,9";"27";"12,8";"61";"48776";"2";"0";"6";"1020";"0";"0";""
Potenza;7/9/2025;"20,1";"14,4";"25,5";"10,5";"54";"41987";"2";"0";"4";"1019";"0";"0";""
Potenza;8/9/2025;"21,5";"14,3";"27,5";"10,5";"49";"42231";"2";"0";"4";"1016";"0";"0";""
Potenza;9/9/2025;"22,9";"16,9";"28,6";"11,3";"47";"32671";"3";"0";"9";"1015";"0";"0,6";"pioggia "
Potenza;10/9/2025;"22";"16,1";"27,8";"15,8";"68";"33406";"5";"0";"13";"1014";"0";"14,3";"pioggia temporale "
Potenza;11/9/2025;"18,8";"12,9";"23,9";"13,8";"72";"20378";"5";"0";"9";"1017";"0";"0,8";"pioggia "
Potenza;12/9/2025;"18,7";"11,7";"25,7";"12,1";"65";"76513";"2";"0";"5";"1019";"0";"0";""
Potenza;13/9/2025;"20,5";"14,1";"27,1";"12,6";"60";"38272";"1";"0";"4";"1020";"0";"0";""
Potenza;14/9/2025;"20,3";"14,8";"26,3";"14,4";"68";"31127";"3";"0";"6";"1019";"0";"0";""
Potenza;15/9/2025;"20,3";"14,1";"26,6";"13,7";"65";"31708";"2";"0";"5";"1020";"0";"0";""
Potenza;16/9/2025;"20,3";"14,7";"26";"15,1";"71";"23134";"3";"0";"7";"1019";"0";"0";""
Potenza;17/9/2025;"19,6";"12,9";"25,9";"13,8";"69";"43512";"3";"0";"8";"1019";"0";"0";""
Potenza;18/9/2025;"17,2";"12,3";"22,2";"10,3";"64";"30789";"4";"0";"9";"1025";"0";"0";""
Potenza;19/9/2025;"19,1";"12,6";"25,5";"10,7";"58";"41052";"3";"0";"5";"1026";"0";"0";""
Potenza;20/9/2025;"19,4";"11,5";"26,1";"10";"54";"42591";"2";"0";"4";"1023";"0";"0";""
Potenza;21/9/2025;"19,8";"11,1";"27,4";"11,1";"57";"41095";"2";"0";"4";"1018";"0";"0";""
Potenza;22/9/2025;"20";"11,9";"27";"11,6";"58";"35017";"2";"0";"5";"1015";"0";"0";""
Potenza;23/9/2025;"19,9";"14,7";"24,7";"12";"60";"32982";"3";"0";"8";"1015";"0";"0,4";"pioggia "
Potenza;24/9/2025;"17,5";"12,6";"21,1";"14,2";"80";"18515";"3";"0";"7";"1015";"0";"10,9";"pioggia "
Potenza;25/9/2025;"15,1";"9,1";"20";"9";"66";"33554";"4";"0";"8";"1018";"0";"0";""
Potenza;26/9/2025;"15,2";"9,3";"20,5";"6,8";"57";"42505";"1";"0";"3";"1019";"0";"0";""
Potenza;27/9/2025;"15,6";"10,6";"20,5";"9,2";"65";"37372";"2";"0";"4";"1018";"0";"0";""
Potenza;28/9/2025;"14,8";"9,2";"20,8";"10,2";"74";"39963";"1";"0";"3";"1015";"0";"3,8";"pioggia temporale "
Potenza;29/9/2025;"14,5";"9";"19,8";"8,9";"69";"36541";"2";"0";"5";"1017";"0";"0,1";""
Potenza;30/9/2025;"14,9";"9,1";"21";"8,3";"64";"54842";"1";"0";"4";"1018";"0";"0,2";""
