LOCALITA;ANNO;MESE;GIORNO;SIN_GIORNO;COS_GIORNO;TMEDIA °C;TEMPERATURA_MEDIA_ANNO_PRECEDENTE;TMIN °C;TMAX °C;UMIDITA %;VENTOMEDIA km/h;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;2025;1;1;0.0172;0.99985;8;14;3;10;96;0;0;0;nebbia 
Bari;2025;1;2;0.0344;0.99941;7;12;2;13;92;0;0;0;nebbia 
Bari;2025;1;3;0.05158;0.99867;11;12;5;15;70;0;0;0;pioggia 
Bari;2025;1;4;0.06876;0.99763;8;13;3;12;81;0;0;0;pioggia 
Bari;2025;1;5;0.08591;0.9963;8;12;2;15;82;0;0;0;soleggiato
Bari;2025;1;6;0.10303;0.99468;12;15;6;19;80;0;0;0;soleggiato
Bari;2025;1;7;0.12013;0.99276;14;11;12;18;80;0;0;0;soleggiato
Bari;2025;1;8;0.13719;0.99055;12;10;8;18;78;0;0;0;soleggiato
Bari;2025;1;9;0.1542;0.98804;12;9;7;18;73;0;0;0;pioggia 
Bari;2025;1;10;0.17118;0.98524;12;9;8;19;72;0;0;0;soleggiato
Bari;2025;1;11;0.1881;0.98215;10;9;7;11;88;0;0;0;pioggia 
Bari;2025;1;12;0.20497;0.97877;7;9;6;9;84;1;0;0;pioggia 
Bari;2025;1;13;0.22177;0.9751;7;7;6;9;80;3;0;0;pioggia 
Bari;2025;1;14;0.23851;0.97114;8;6;6;10;68;0;0;0;pioggia 
Bari;2025;1;15;0.25518;0.96689;7;12;5;10;75;0;0;0;pioggia 
Bari;2025;1;16;0.27178;0.96236;6;11;1;10;80;0;0;0;soleggiato
Bari;2025;1;17;0.28829;0.95754;9;13;5;11;86;0;0;0;pioggia 
Bari;2025;1;18;0.30472;0.95244;9;17;7;11;94;0;0;0;pioggia 
Bari;2025;1;19;0.32106;0.94706;10;16;9;12;97;0;0;0;pioggia nebbia 
Bari;2025;1;20;0.3373;0.9414;10;8;8;12;94;0;0;0;pioggia 
Bari;2025;1;21;0.35344;0.93546;10;9;7;14;88;0;0;0;pioggia 
Bari;2025;1;22;0.36948;0.92924;10;7;4;14;79;0;0;0;soleggiato
Bari;2025;1;23;0.38541;0.92274;12;9;7;17;77;0;0;0;soleggiato
Bari;2025;1;24;0.40123;0.91598;13;11;8;17;84;0;0;0;soleggiato
Bari;2025;1;25;0.41693;0.90894;10;9;5;16;88;0;0;0;soleggiato
Bari;2025;1;26;0.4325;0.90163;12;9;7;18;81;0;0;0;soleggiato
Bari;2025;1;27;0.44794;0.89406;12;9;7;19;71;0;0;0;soleggiato
Bari;2025;1;28;0.46326;0.88622;14;10;10;19;75;2;0;0;pioggia 
Bari;2025;1;29;0.47843;0.87812;12;8;8;16;68;0;0;0;pioggia 
Bari;2025;1;30;0.49347;0.86976;10;6;6;15;86;0;0;0;pioggia 
Bari;2025;1;31;0.50836;0.86115;9;6;3;15;79;0;0;0;soleggiato
Bari;2025;2;1;0.52309;0.85227;10;7;4;16;88;0;0;0;soleggiato
Bari;2025;2;2;0.53768;0.84315;10;9;7;13;96;0;0;0;pioggia 
Bari;2025;2;3;0.5521;0.83378;11;11;9;13;91;0;0;0;pioggia 
Bari;2025;2;4;0.56636;0.82416;10;10;7;12;78;0;0;0;pioggia 
Bari;2025;2;5;0.58045;0.81429;9;10;6;12;74;0;0;0;soleggiato
Bari;2025;2;6;0.59438;0.80419;9;10;4;14;77;0;0;0;soleggiato
Bari;2025;2;7;0.60812;0.79384;8;11;2;13;86;0;0;0;pioggia 
Bari;2025;2;8;0.62169;0.78327;11;12;7;15;76;0;0;0;soleggiato
Bari;2025;2;9;0.63507;0.77246;9;13;3;14;78;0;0;0;soleggiato
Bari;2025;2;10;0.64826;0.76142;7;15;2;13;80;0;0;0;soleggiato
Bari;2025;2;11;0.66126;0.75015;9;14;3;14;80;0;0;0;soleggiato
Bari;2025;2;12;0.67407;0.73867;9;10;5;15;82;0;0;0;soleggiato
Bari;2025;2;13;0.68668;0.72696;10;10;4;14;79;0;0;0;soleggiato
Bari;2025;2;14;0.69908;0.71504;12;11;8;18;75;0;0;0;pioggia temporale 
Bari;2025;2;15;0.71128;0.70291;11;11;9;16;85;0;0;0;pioggia 
Bari;2025;2;16;0.72326;0.69057;10;9;8;12;92;0;0;0;pioggia 
Bari;2025;2;17;0.73503;0.67803;10;9;9;13;82;0;0;0;soleggiato
Bari;2025;2;18;0.74659;0.66529;9;10;7;11;77;0;0;0;soleggiato
Bari;2025;2;19;0.75792;0.65235;9;11;7;11;74;0;0;0;soleggiato
Bari;2025;2;20;0.76903;0.63921;8;12;6;10;75;0;0;0;soleggiato
Bari;2025;2;21;0.77991;0.62589;9;11;4;13;75;0;0;0;soleggiato
Bari;2025;2;22;0.79056;0.61238;8;11;2;14;74;0;0;0;soleggiato
Bari;2025;2;23;0.80098;0.59869;10;13;4;15;80;0;0;0;soleggiato
Bari;2025;2;24;0.81116;0.58482;11;13;6;16;81;0;0;0;pioggia 
Bari;2025;2;25;0.8211;0.57078;11;10;7;15;84;0;0;0;pioggia 
Bari;2025;2;26;0.8308;0.55658;13;12;9;18;80;0;0;0;pioggia 
Bari;2025;2;27;0.84025;0.5422;11;14;9;13;88;0;0;0;pioggia 
Bari;2025;2;28;0.84945;0.52767;11;16;6;15;80;0;0;0;soleggiato
Bari;2025;3;1;0.8584;0.51298;11;13;7;17;87;0;0;0;pioggia 
Bari;2025;3;2;0.8671;0.49814;11;11;9;14;90;0;0;0;pioggia 
Bari;2025;3;3;0.87554;0.48315;10;13;7;13;65;0;0;0;soleggiato
Bari;2025;3;4;0.88372;0.46802;10;11;6;14;75;0;0;0;soleggiato
Bari;2025;3;5;0.89164;0.45274;10;10;4;14;81;0;0;0;soleggiato
Bari;2025;3;6;0.8993;0.43734;9;12;3;15;83;0;0;0;soleggiato
Bari;2025;3;7;0.90669;0.42181;10;10;5;15;85;0;0;0;soleggiato
Bari;2025;3;8;0.91381;0.40615;10;11;6;14;89;0;0;0;nebbia 
Bari;2025;3;9;0.92066;0.39037;13;14;6;21;70;0;0;0;soleggiato
Bari;2025;3;10;0.92724;0.37447;16;15;10;20;77;9;0;0;soleggiato
Bari;2025;3;11;0.93354;0.35847;17;14;14;21;78;5;0;0;pioggia temporale 
Bari;2025;3;12;0.93957;0.34236;15;11;11;18;79;0;0;0;pioggia 
Bari;2025;3;13;0.94532;0.32614;15;12;10;20;67;0;0;0;soleggiato
Bari;2025;3;14;0.95079;0.30983;17;11;13;21;73;10;0;0;soleggiato
Bari;2025;3;15;0.95598;0.29343;18;12;16;22;75;5;0;0;soleggiato
Bari;2025;3;16;0.96089;0.27695;15;13;9;20;55;0;0;0;soleggiato
