LOCALITA;ANNO;MESE;GIORNO;SIN_GIORNO;COS_GIORNO;TMEDIA °C;TEMPERATURA_MEDIA_ANNO_PRECEDENTE;TMIN °C;TMAX °C;UMIDITA %;VENTOMEDIA km/h;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;2025;1;1;0.0172;0.99985;7;9.1;4;14;97;0;0;0;nebbia
Lecce;2025;1;2;0.0344;0.99941;8;7.9;3;15;90;0;0;0;nebbia
Lecce;2025;1;3;0.05158;0.99867;11;8.5;6;15;78;0;0;0;soleggiato
Lecce;2025;1;4;0.06876;0.99763;9;9.1;4;12;83;0;0;0;pioggia
Lecce;2025;1;5;0.08591;0.9963;9;9.2;4;15;86;0;0;0;soleggiato
Lecce;2025;1;6;0.10303;0.99468;13;8.4;9;16;89;0;0;0;soleggiato
Lecce;2025;1;7;0.12013;0.99276;16;4.9;15;17;87;1;0;0;soleggiato
Lecce;2025;1;8;0.13719;0.99055;13;5;9;17;86;0;0;0;soleggiato
Lecce;2025;1;9;0.1542;0.98804;11;2.2;8;17;90;0;0;0;nebbia
Lecce;2025;1;10;0.17118;0.98524;12;3.1;9;17;82;0;0;0;soleggiato
Lecce;2025;1;11;0.1881;0.98215;11;4.1;7;15;89;0;0;0;pioggia
Lecce;2025;1;12;0.20497;0.97877;8;1.9;7;10;89;11;0;0;pioggia
Lecce;2025;1;13;0.22177;0.9751;9;1.2;7;11;87;1;0;0;pioggia
Lecce;2025;1;14;0.23851;0.97114;8;4.9;7;10;77;0;0;0;pioggia
Lecce;2025;1;15;0.25518;0.96689;7;8.2;4;10;82;0;0;0;soleggiato
Lecce;2025;1;16;0.27178;0.96236;9;8.9;5;12;81;0;0;0;soleggiato
Lecce;2025;1;17;0.28829;0.95754;11;10.2;9;12;84;0;0;0;pioggia
Lecce;2025;1;18;0.30472;0.95244;13;10.2;8;15;86;0;0;0;pioggia
Lecce;2025;1;19;0.32106;0.94706;13;9.3;11;16;93;0;0;0;pioggia
Lecce;2025;1;20;0.3373;0.9414;13;-0.2;11;16;91;0;0;0;pioggia temporale
Lecce;2025;1;21;0.35344;0.93546;11;-1;7;14;89;0;0;0;pioggia nebbia
Lecce;2025;1;22;0.36948;0.92924;9;2.7;4;15;85;0;0;0;nebbia
Lecce;2025;1;23;0.38541;0.92274;13;4.5;9;17;90;0;0;0;soleggiato
Lecce;2025;1;24;0.40123;0.91598;13;6.2;10;17;89;0;0;0;nebbia
Lecce;2025;1;25;0.41693;0.90894;12;6.5;7;17;88;0;0;0;nebbia
Lecce;2025;1;26;0.4325;0.90163;12;8.7;8;16;89;0;0;0;nebbia
Lecce;2025;1;27;0.44794;0.89406;12;6;8;17;87;0;0;0;nebbia
Lecce;2025;1;28;0.46326;0.88622;14;3.8;10;17;87;3;0;0;soleggiato
Lecce;2025;1;29;0.47843;0.87812;13;3.9;9;18;88;0;0;0;pioggia temporale
Lecce;2025;1;30;0.49347;0.86976;12;3.8;9;14;91;0;0;0;pioggia
Lecce;2025;1;31;0.50836;0.86115;10;5.6;5;16;82;0;0;0;nebbia
Lecce;2025;2;1;0.52309;0.85227;10;5;5;15;89;0;0;0;nebbia
Lecce;2025;2;2;0.53768;0.84315;11;3.8;6;14;93;0;0;0;pioggia temporale nebbia
Lecce;2025;2;3;0.5521;0.83378;12;7;8;17;89;0;0;0;pioggia nebbia
Lecce;2025;2;4;0.56636;0.82416;10;8.6;6;14;84;0;0;0;soleggiato
Lecce;2025;2;5;0.58045;0.81429;8;8.6;4;13;78;0;0;0;soleggiato
Lecce;2025;2;6;0.59438;0.80419;9;8.1;5;14;78;0;0;0;soleggiato
Lecce;2025;2;7;0.60812;0.79384;10;8.4;6;14;80;0;0;0;pioggia
Lecce;2025;2;8;0.62169;0.78327;9;7.4;4;14;79;0;0;0;soleggiato
Lecce;2025;2;9;0.63507;0.77246;7;9.1;3;12;83;0;0;0;soleggiato
Lecce;2025;2;10;0.64826;0.76142;7;8.4;1;14;84;0;0;0;nebbia
Lecce;2025;2;11;0.66126;0.75015;9;6.2;4;15;83;0;0;0;soleggiato
Lecce;2025;2;12;0.67407;0.73867;11;5.4;6;15;84;0;0;0;soleggiato
Lecce;2025;2;13;0.68668;0.72696;11;4.6;9;14;95;0;0;0;pioggia
Lecce;2025;2;14;0.69908;0.71504;12;4.1;9;16;87;0;0;0;soleggiato
Lecce;2025;2;15;0.71128;0.70291;13;7.1;11;19;86;3;0;0;pioggia temporale
Lecce;2025;2;16;0.72326;0.69057;11;10.3;7;14;89;0;0;0;pioggia nebbia
Lecce;2025;2;17;0.73503;0.67803;10;10.8;7;14;88;0;0;0;pioggia
Lecce;2025;2;18;0.74659;0.66529;10;10.1;6;13;81;0;0;0;soleggiato
Lecce;2025;2;19;0.75792;0.65235;8;8.2;4;12;81;0;0;0;pioggia
