param_max_depth;param_min_samples_leaf;param_min_samples_split;param_n_estimators;RMSE_medio_CV;RMSE_Test_2025;STD_DEV_Test_2025
5;1;2;100;3,36519;;
5;1;2;200;3,3519;;
5;1;5;100;3,36171;;
5;1;5;200;3,34867;;
5;2;2;100;3,35987;;
5;2;2;200;3,34546;;
5;2;5;100;3,35877;;
5;2;5;200;3,34443;2,47088;2,44383
10;1;2;100;3,39681;;
10;1;2;200;3,3839;;
10;1;5;100;3,39064;;
10;1;5;200;3,37219;;
10;2;2;100;3,38293;;
10;2;2;200;3,37123;;
10;2;5;100;3,38742;;
10;2;5;200;3,37083;;
;1;2;100;3,43481;;
;1;2;200;3,41808;;
;1;5;100;3,41041;;
;1;5;200;3,39635;;
;2;2;100;3,40756;;
;2;2;200;3,39464;;
;2;5;100;3,41;;
;2;5;200;3,39345;;
