param_max_depth;param_min_samples_leaf;param_min_samples_split;param_n_estimators;RMSE_medio_CV;RMSE_Test_2025
5;1;2;100;3,56666;
5;1;2;200;3,56728;
5;1;5;100;3,56738;
5;1;5;200;3,56674;
5;2;2;100;3,55762;
5;2;2;200;3,55695;2,66681
5;2;5;100;3,56019;
5;2;5;200;3,55765;
10;1;2;100;3,67054;
10;1;2;200;3,67461;
10;1;5;100;3,66509;
10;1;5;200;3,66816;
10;2;2;100;3,664;
10;2;2;200;3,65668;
10;2;5;100;3,65495;
10;2;5;200;3,65676;
;1;2;100;3,71212;
;1;2;200;3,70943;
;1;5;100;3,70245;
;1;5;200;3,70138;
;2;2;100;3,69502;
;2;2;200;3,68613;
;2;5;100;3,68308;
;2;5;200;3,68632;
