param_learning_rate;param_max_depth;param_n_estimators;param_subsample;RMSE_medio_CV;rank_test_score;RMSE_Test_2025
0,01;3;100;0,8;3,64778;35;
0,01;3;100;1,0;3,65679;36;
0,01;3;300;0,8;2,84828;1;2,48433
0,01;3;300;1,0;2,88312;2;
0,01;6;100;0,8;3,54929;31;
0,01;6;100;1,0;3,55744;32;
0,01;6;300;0,8;2,88539;3;
0,01;6;300;1,0;2,90331;4;
0,01;10;100;0,8;3,59578;33;
0,01;10;100;1,0;3,62792;34;
0,01;10;300;0,8;2,93273;6;
0,01;10;300;1,0;3,01617;12;
0,1;3;100;0,8;2,92959;5;
0,1;3;100;1,0;2,97438;9;
0,1;3;300;0,8;2,99735;10;
0,1;3;300;1,0;3,06326;15;
0,1;6;100;0,8;3,00326;11;
0,1;6;100;1,0;3,02257;13;
0,1;6;300;0,8;3,07653;17;
0,1;6;300;1,0;3,07888;18;
0,1;10;100;0,8;3,08148;19;
0,1;10;100;1,0;3,13354;25;
0,1;10;300;0,8;3,10132;21;
0,1;10;300;1,0;3,15137;27;
0,2;3;100;0,8;2,9598;8;
0,2;3;100;1,0;2,94717;7;
0,2;3;300;0,8;3,03491;14;
0,2;3;300;1,0;3,1305;24;
0,2;6;100;0,8;3,0746;16;
0,2;6;100;1,0;3,09929;20;
0,2;6;300;0,8;3,13512;26;
0,2;6;300;1,0;3,16526;30;
0,2;10;100;0,8;3,10984;22;
0,2;10;100;1,0;3,15461;28;
0,2;10;300;0,8;3,11646;23;
0,2;10;300;1,0;3,1637;29;
