param_learning_rate;param_max_depth;param_n_estimators;param_subsample;RMSE_medio_CV;rank_test_score;RMSE_Test_2025
0,01;3;100;0,8;3,85783;35;
0,01;3;100;1,0;3,86648;36;
0,01;3;300;0,8;3,22436;1;2,4565
0,01;3;300;1,0;3,25586;2;
0,01;6;100;0,8;3,7459;31;
0,01;6;100;1,0;3,75112;32;
0,01;6;300;0,8;3,27252;3;
0,01;6;300;1,0;3,33605;5;
0,01;10;100;0,8;3,79747;33;
0,01;10;100;1,0;3,81611;34;
0,01;10;300;0,8;3,30675;4;
0,01;10;300;1,0;3,38076;6;
0,1;3;100;0,8;3,4065;7;
0,1;3;100;1,0;3,45159;8;
0,1;3;300;0,8;3,55066;20;
0,1;3;300;1,0;3,54621;18;
0,1;6;100;0,8;3,46094;9;
0,1;6;100;1,0;3,51079;12;
0,1;6;300;0,8;3,54504;16;
0,1;6;300;1,0;3,59195;25;
0,1;10;100;0,8;3,48911;10;
0,1;10;100;1,0;3,56719;21;
0,1;10;300;0,8;3,51626;13;
0,1;10;300;1,0;3,59104;24;
0,2;3;100;0,8;3,52484;14;
0,2;3;100;1,0;3,49352;11;
0,2;3;300;0,8;3,64429;30;
0,2;3;300;1,0;3,62736;29;
0,2;6;100;0,8;3,52494;15;
0,2;6;100;1,0;3,5809;23;
0,2;6;300;0,8;3,57741;22;
0,2;6;300;1,0;3,6247;28;
0,2;10;100;0,8;3,54575;17;
0,2;10;100;1,0;3,59447;26;
0,2;10;300;0,8;3,55007;19;
0,2;10;300;1,0;3,60146;27;
