param_learning_rate;param_max_depth;param_n_estimators;param_subsample;RMSE_medio_CV;rank_test_score;RMSE_Test_2025;STD_DEV_Test_2025
0,01;3;100;0,8;4,47339;35;;
0,01;3;100;1,0;4,48178;36;;
0,01;3;300;0,8;3,80347;3;;
0,01;3;300;1,0;3,81574;4;;
0,01;6;100;0,8;4,31724;31;;
0,01;6;100;1,0;4,33499;32;;
0,01;6;300;0,8;3,74353;1;3,04067;2,96965
0,01;6;300;1,0;3,77211;2;;
0,01;10;100;0,8;4,37199;33;;
0,01;10;100;1,0;4,46375;34;;
0,01;10;300;0,8;3,82765;5;;
0,01;10;300;1,0;3,9575;10;;
0,1;3;100;0,8;3,96187;11;;
0,1;3;100;1,0;3,91582;6;;
0,1;3;300;0,8;4,063;24;;
0,1;3;300;1,0;4,06445;25;;
0,1;6;100;0,8;3,94236;8;;
0,1;6;100;1,0;3,93872;7;;
0,1;6;300;0,8;4,02426;16;;
0,1;6;300;1,0;4,02758;19;;
0,1;10;100;0,8;3,95565;9;;
0,1;10;100;1,0;4,02515;18;;
0,1;10;300;0,8;3,96691;12;;
0,1;10;300;1,0;4,03238;21;;
0,2;3;100;0,8;4,04061;22;;
0,2;3;100;1,0;4,01534;14;;
0,2;3;300;0,8;4,12259;29;;
0,2;3;300;1,0;4,16706;30;;
0,2;6;100;0,8;4,00344;13;;
0,2;6;100;1,0;4,04847;23;;
0,2;6;300;0,8;4,02941;20;;
0,2;6;300;1,0;4,08645;28;;
0,2;10;100;0,8;4,02291;15;;
0,2;10;100;1,0;4,07944;26;;
0,2;10;300;0,8;4,02489;17;;
0,2;10;300;1,0;4,08122;27;;
