LOCALITA;ANNO;MESE;GIORNO;SIN_GIORNO;COS_GIORNO;TMEDIA °C;TEMPERATURA_MEDIA_ANNO_PRECEDENTE;TMIN °C;TMAX °C;UMIDITA %;VENTOMEDIA km/h;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI;PRED_LINREG
Bari;2025;1;1;0,0172;0,99985;8,0;9,1;3,0;10,0;96;0;0;0,0;nebbia;9,72
Bari;2025;1;2;0,0344;0,99941;7,0;7,9;2,0;13,0;92;0;0;0,0;nebbia;9,51
Bari;2025;1;3;0,05158;0,99867;11,0;8,5;5,0;15,0;70;0;0;0,0;pioggia;9,53
Bari;2025;1;4;0,06876;0,99763;8,0;9,1;3,0;12,0;81;0;0;0,0;pioggia;9,55
Bari;2025;1;5;0,08591;0,9963;8,0;9,2;2,0;15,0;82;0;0;0,0;soleggiato;9,51
Bari;2025;1;6;0,10303;0,99468;12,0;8,4;6,0;19,0;80;0;0;0,0;soleggiato;9,36
Bari;2025;1;7;0,12013;0,99276;14,0;4,9;12,0;18,0;80;0;0;0,0;soleggiato;8,86
Bari;2025;1;8;0,13719;0,99055;12,0;5,0;8,0;18,0;78;0;0;0,0;soleggiato;8,83
Bari;2025;1;9;0,1542;0,98804;12,0;2,2;7,0;18,0;73;0;0;0,0;pioggia;8,43
Bari;2025;1;10;0,17118;0,98524;12,0;3,1;8,0;19,0;72;0;0;0,0;soleggiato;8,5
Bari;2025;1;11;0,1881;0,98215;10,0;4,1;7,0;11,0;88;0;0;0,0;pioggia;8,59
Bari;2025;1;12;0,20497;0,97877;7,0;1,9;6,0;9,0;84;1;0;0,0;pioggia;8,27
Bari;2025;1;13;0,22177;0,9751;7,0;1,2;6,0;9,0;80;3;0;0,0;pioggia;8,15
Bari;2025;1;14;0,23851;0,97114;8,0;4,9;6,0;10,0;68;0;0;0,0;pioggia;8,59
Bari;2025;1;15;0,25518;0,96689;7,0;8,2;5,0;10,0;75;0;0;0,0;pioggia;8,98
Bari;2025;1;16;0,27178;0,96236;6,0;8,9;1,0;10,0;80;0;0;0,0;soleggiato;9,04
Bari;2025;1;17;0,28829;0,95754;9,0;10,2;5,0;11,0;86;0;0;0,0;pioggia;9,19
Bari;2025;1;18;0,30472;0,95244;9,0;10,2;7,0;11,0;94;0;0;0,0;pioggia;9,16
Bari;2025;1;19;0,32106;0,94706;10,0;9,3;9,0;12,0;97;0;0;0,0;pioggia nebbia;9,02
Bari;2025;1;20;0,3373;0,9414;10,0;-0,2;8,0;12,0;94;0;0;0,0;pioggia;7,79
Bari;2025;1;21;0,35344;0,93546;10,0;-1,0;7,0;14,0;88;0;0;0,0;pioggia;7,67
Bari;2025;1;22;0,36948;0,92924;10,0;2,7;4,0;14,0;79;0;0;0,0;soleggiato;8,13
Bari;2025;1;23;0,38541;0,92274;12,0;4,5;7,0;17,0;77;0;0;0,0;soleggiato;8,35
Bari;2025;1;24;0,40123;0,91598;13,0;6,2;8,0;17,0;84;0;0;0,0;soleggiato;8,55
Bari;2025;1;25;0,41693;0,90894;10,0;6,5;5,0;16,0;88;0;0;0,0;soleggiato;8,59
Bari;2025;1;26;0,4325;0,90163;12,0;8,7;7,0;18,0;81;0;0;0,0;soleggiato;8,86
Bari;2025;1;27;0,44794;0,89406;12,0;6,0;7,0;19,0;71;0;0;0,0;soleggiato;8,51
Bari;2025;1;28;0,46326;0,88622;14,0;3,8;10,0;19,0;75;2;0;0,0;pioggia;8,23
Bari;2025;1;29;0,47843;0,87812;12,0;3,9;8,0;16,0;68;0;0;0,0;pioggia;8,24
Bari;2025;1;30;0,49347;0,86976;10,0;3,8;6,0;15,0;86;0;0;0,0;pioggia;8,24
Bari;2025;1;31;0,50836;0,86115;9,0;5,6;3,0;15,0;79;0;0;0,0;soleggiato;8,47
Bari;2025;2;1;0,52309;0,85227;10,0;5,0;4,0;16,0;88;0;0;0,0;soleggiato;8,4
Bari;2025;2;2;0,53768;0,84315;10,0;3,8;7,0;13,0;96;0;0;0,0;pioggia;8,26
Bari;2025;2;3;0,5521;0,83378;11,0;7,0;9,0;13,0;91;0;0;0,0;pioggia;8,69
Bari;2025;2;4;0,56636;0,82416;10,0;8,6;7,0;12,0;78;0;0;0,0;pioggia;8,91
Bari;2025;2;5;0,58045;0,81429;9,0;8,6;6,0;12,0;74;0;0;0,0;soleggiato;8,92
Bari;2025;2;6;0,59438;0,80419;9,0;8,1;4,0;14,0;77;0;0;0,0;soleggiato;8,88
Bari;2025;2;7;0,60812;0,79384;8,0;8,4;2,0;13,0;86;0;0;0,0;pioggia;8,94
Bari;2025;2;8;0,62169;0,78327;11,0;7,4;7,0;15,0;76;0;0;0,0;soleggiato;8,84
Bari;2025;2;9;0,63507;0,77246;9,0;9,1;3,0;14,0;78;0;0;0,0;soleggiato;9,08
Bari;2025;2;10;0,64826;0,76142;7,0;8,4;2,0;13,0;80;0;0;0,0;soleggiato;9,02
Bari;2025;2;11;0,66126;0,75015;9,0;6,2;3,0;14,0;80;0;0;0,0;soleggiato;8,77
Bari;2025;2;12;0,67407;0,73867;9,0;5,4;5,0;15,0;82;0;0;0,0;soleggiato;8,7
Bari;2025;2;13;0,68668;0,72696;10,0;4,6;4,0;14,0;79;0;0;0,0;soleggiato;8,63
Bari;2025;2;14;0,69908;0,71504;12,0;4,1;8,0;18,0;75;0;0;0,0;pioggia temporale;8,61
Bari;2025;2;15;0,71128;0,70291;11,0;7,1;9,0;16,0;85;0;0;0,0;pioggia;9,03
