LOCALITA;ANNO;MESE;GIORNO;SIN_GIORNO;COS_GIORNO;TMEDIA °C;TEMPERATURA_MEDIA_ANNO_PRECEDENTE;TMIN °C;TMAX °C;UMIDITA %;VENTOMEDIA km/h;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI;PRED_RF
Lecce;2025;1;1;0,0172;0,99985;7,0;9,1;4,0;14,0;97;0;0;0,0;nebbia;10,06
Lecce;2025;1;2;0,0344;0,99941;8,0;7,9;3,0;15,0;90;0;0;0,0;nebbia;9,99
Lecce;2025;1;3;0,05158;0,99867;11,0;8,5;6,0;15,0;78;0;0;0,0;soleggiato;10,0
Lecce;2025;1;4;0,06876;0,99763;9,0;9,1;4,0;12,0;83;0;0;0,0;pioggia;10,06
Lecce;2025;1;5;0,08591;0,9963;9,0;9,2;4,0;15,0;86;0;0;0,0;soleggiato;10,17
Lecce;2025;1;6;0,10303;0,99468;13,0;8,4;9,0;16,0;89;0;0;0,0;soleggiato;10,0
Lecce;2025;1;7;0,12013;0,99276;16,0;4,9;15,0;17,0;87;1;0;0,0;soleggiato;9,98
Lecce;2025;1;8;0,13719;0,99055;13,0;5,0;9,0;17,0;86;0;0;0,0;soleggiato;9,97
Lecce;2025;1;9;0,1542;0,98804;11,0;2,2;8,0;17,0;90;0;0;0,0;nebbia;9,94
Lecce;2025;1;10;0,17118;0,98524;12,0;3,1;9,0;17,0;82;0;0;0,0;soleggiato;9,94
Lecce;2025;1;11;0,1881;0,98215;11,0;4,1;7,0;15,0;89;0;0;0,0;pioggia;9,94
Lecce;2025;1;12;0,20497;0,97877;8,0;1,9;7,0;10,0;89;11;0;0,0;pioggia;9,94
Lecce;2025;1;13;0,22177;0,9751;9,0;1,2;7,0;11,0;87;1;0;0,0;pioggia;9,94
Lecce;2025;1;14;0,23851;0,97114;8,0;4,9;7,0;10,0;77;0;0;0,0;pioggia;9,94
Lecce;2025;1;15;0,25518;0,96689;7,0;8,2;4,0;10,0;82;0;0;0,0;soleggiato;9,96
Lecce;2025;1;16;0,27178;0,96236;9,0;8,9;5,0;12,0;81;0;0;0,0;soleggiato;9,96
Lecce;2025;1;17;0,28829;0,95754;11,0;10,2;9,0;12,0;84;0;0;0,0;pioggia;11,23
Lecce;2025;1;18;0,30472;0,95244;13,0;10,2;8,0;15,0;86;0;0;0,0;pioggia;11,23
Lecce;2025;1;19;0,32106;0,94706;13,0;9,3;11,0;16,0;93;0;0;0,0;pioggia;10,21
Lecce;2025;1;20;0,3373;0,9414;13,0;-0,2;11,0;16,0;91;0;0;0,0;pioggia temporale;9,94
Lecce;2025;1;21;0,35344;0,93546;11,0;-1,0;7,0;14,0;89;0;0;0,0;pioggia nebbia;9,94
Lecce;2025;1;22;0,36948;0,92924;9,0;2,7;4,0;15,0;85;0;0;0,0;nebbia;9,94
Lecce;2025;1;23;0,38541;0,92274;13,0;4,5;9,0;17,0;90;0;0;0,0;soleggiato;9,94
Lecce;2025;1;24;0,40123;0,91598;13,0;6,2;10,0;17,0;89;0;0;0,0;nebbia;9,94
Lecce;2025;1;25;0,41693;0,90894;12,0;6,5;7,0;17,0;88;0;0;0,0;nebbia;9,94
Lecce;2025;1;26;0,4325;0,90163;12,0;8,7;8,0;16,0;89;0;0;0,0;nebbia;9,96
Lecce;2025;1;27;0,44794;0,89406;12,0;6,0;8,0;17,0;87;0;0;0,0;nebbia;9,94
Lecce;2025;1;28;0,46326;0,88622;14,0;3,8;10,0;17,0;87;3;0;0,0;soleggiato;9,94
Lecce;2025;1;29;0,47843;0,87812;13,0;3,9;9,0;18,0;88;0;0;0,0;pioggia temporale;9,94
Lecce;2025;1;30;0,49347;0,86976;12,0;3,8;9,0;14,0;91;0;0;0,0;pioggia;9,94
Lecce;2025;1;31;0,50836;0,86115;10,0;5,6;5,0;16,0;82;0;0;0,0;nebbia;9,94
Lecce;2025;2;1;0,52309;0,85227;10,0;5,0;5,0;15,0;89;0;0;0,0;nebbia;9,94
Lecce;2025;2;2;0,53768;0,84315;11,0;3,8;6,0;14,0;93;0;0;0,0;pioggia temporale nebbia;9,94
Lecce;2025;2;3;0,5521;0,83378;12,0;7,0;8,0;17,0;89;0;0;0,0;pioggia nebbia;9,94
Lecce;2025;2;4;0,56636;0,82416;10,0;8,6;6,0;14,0;84;0;0;0,0;soleggiato;9,96
Lecce;2025;2;5;0,58045;0,81429;8,0;8,6;4,0;13,0;78;0;0;0,0;soleggiato;9,96
Lecce;2025;2;6;0,59438;0,80419;9,0;8,1;5,0;14,0;78;0;0;0,0;soleggiato;9,96
Lecce;2025;2;7;0,60812;0,79384;10,0;8,4;6,0;14,0;80;0;0;0,0;pioggia;9,96
Lecce;2025;2;8;0,62169;0,78327;9,0;7,4;4,0;14,0;79;0;0;0,0;soleggiato;9,94
Lecce;2025;2;9;0,63507;0,77246;7,0;9,1;3,0;12,0;83;0;0;0,0;soleggiato;10,04
Lecce;2025;2;10;0,64826;0,76142;7,0;8,4;1,0;14,0;84;0;0;0,0;nebbia;9,96
Lecce;2025;2;11;0,66126;0,75015;9,0;6,2;4,0;15,0;83;0;0;0,0;soleggiato;9,94
Lecce;2025;2;12;0,67407;0,73867;11,0;5,4;6,0;15,0;84;0;0;0,0;soleggiato;9,94
Lecce;2025;2;13;0,68668;0,72696;11,0;4,6;9,0;14,0;95;0;0;0,0;pioggia;9,94
Lecce;2025;2;14;0,69908;0,71504;12,0;4,1;9,0;16,0;87;0;0;0,0;soleggiato;9,94
Lecce;2025;2;15;0,71128;0,70291;13,0;7,1;11,0;19,0;86;3;0;0,0;pioggia temporale;9,94
Lecce;2025;2;16;0,72326;0,69057;11,0;10,3;7,0;14,0;89;0;0;0,0;pioggia nebbia;11,39
Lecce;2025;2;17;0,73503;0,67803;10,0;10,8;7,0;14,0;88;0;0;0,0;pioggia;11,92
Lecce;2025;2;18;0,74659;0,66529;10,0;10,1;6,0;13,0;81;0;0;0,0;soleggiato;11,06
Lecce;2025;2;19;0,75792;0,65235;8,0;8,2;4,0;12,0;81;0;0;0,0;pioggia;9,97
Lecce;2025;2;20;0,76903;0,63921;7,0;6,0;2,0;11,0;79;0;0;0,0;soleggiato;9,96
Lecce;2025;2;21;0,77991;0,62589;8,0;6,5;3,0;13,0;78;0;0;0,0;soleggiato;9,97
Lecce;2025;2;22;0,79056;0,61238;7,0;7,4;-1,0;14,0;74;0;0;0,0;soleggiato;9,97
Lecce;2025;2;23;0,80098;0,59869;10,0;7,7;4,0;16,0;74;0;0;0,0;soleggiato;9,97
Lecce;2025;2;24;0,81116;0,58482;12,0;6,5;8,0;15,0;83;0;0;0,0;soleggiato;9,97
Lecce;2025;2;25;0,8211;0,57078;13,0;5,5;10,0;16,0;86;0;0;0,0;pioggia;9,97
Lecce;2025;2;26;0,8308;0,55658;14,0;7,2;10,0;16,0;88;0;0;0,0;soleggiato;9,97
Lecce;2025;2;27;0,84025;0,5422;13,0;9,5;11,0;14,0;90;1;0;0,0;pioggia;10,31
Lecce;2025;2;28;0,84945;0,52767;12,0;8,3;7,0;16,0;80;0;0;0,0;soleggiato;9,99
Lecce;2025;3;1;0,8584;0,51298;12,0;6,6;7,0;17,0;81;0;0;0,0;soleggiato;9,97
Lecce;2025;3;2;0,8671;0,49814;13,0;6,8;11,0;15,0;90;0;0;0,0;pioggia temporale;9,97
Lecce;2025;3;3;0,87554;0,48315;11,0;8,7;6,0;14,0;64;0;0;0,0;soleggiato;9,99
Lecce;2025;3;4;0,88372;0,46802;10,0;4,4;5,0;15,0;69;0;0;0,0;soleggiato;9,97
Lecce;2025;3;5;0,89164;0,45274;10,0;4,8;4,0;17,0;80;0;0;0,0;nebbia;9,97
Lecce;2025;3;6;0,8993;0,43734;11,0;6,3;4,0;19,0;88;0;0;0,0;nebbia;9,97
Lecce;2025;3;7;0,90669;0,42181;11,0;4,5;5,0;19,0;78;0;0;0,0;nebbia;9,97
Lecce;2025;3;8;0,91381;0,40615;12,0;7,2;7,0;17,0;84;0;0;0,0;nebbia;9,97
Lecce;2025;3;9;0,92066;0,39037;12,0;8,6;6,0;19,0;80;0;0;0,0;nebbia;9,99
Lecce;2025;3;10;0,92724;0,37447;15,0;11,3;10,0;19,0;86;6;0;0,0;soleggiato;12,23
Lecce;2025;3;11;0,93354;0,35847;17,0;7,3;16,0;18,0;90;7;0;0,0;pioggia;9,97
Lecce;2025;3;12;0,93957;0,34236;16,0;5,3;14,0;19,0;90;0;0;0,0;nebbia;9,97
Lecce;2025;3;13;0,94532;0,32614;15,0;5,5;12,0;19,0;76;0;0;0,0;soleggiato;9,97
Lecce;2025;3;14;0,95079;0,30983;16,0;7,7;13,0;20,0;77;8;0;0,0;soleggiato;9,97
Lecce;2025;3;15;0,95598;0,29343;18,0;8,8;16,0;21,0;80;22;0;0,0;soleggiato;9,99
Lecce;2025;3;16;0,96089;0,27695;15,0;8,0;10,0;19,0;72;0;0;0,0;soleggiato;9,99
Lecce;2025;3;17;0,96551;0,26038;12,0;8,3;7,0;16,0;69;0;0;0,0;soleggiato;10,01
Lecce;2025;3;18;0,96984;0,24373;10,0;9,0;7,0;14,0;67;4;0;0,0;pioggia;10,12
Lecce;2025;3;19;0,97389;0,22701;8,0;7,4;3,0;13,0;62;0;0;0,0;soleggiato;10,12
