LOCALITA;ANNO;MESE;GIORNO;SIN_GIORNO;COS_GIORNO;TMEDIA °C;TEMPERATURA_MEDIA_ANNO_PRECEDENTE;TMIN °C;TMAX °C;UMIDITA %;VENTOMEDIA km/h;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI;PRED_XGBOOST
Potenza;2025;1;1;0,0172;0,99985;7,0;9,1;1,8;13,0;64;1;0;0,0;soleggiato;7,44
Potenza;2025;1;2;0,0344;0,99941;5,0;7,9;1,7;10,3;78;4;0;0,0;pioggia;7,63
Potenza;2025;1;3;0,05158;0,99867;6,2;8,5;4,3;7,8;91;7;0;3,8;pioggia;7,5
Potenza;2025;1;4;0,06876;0,99763;5,2;9,1;3,9;6,4;91;2;0;1,6;pioggia;7,31
Potenza;2025;1;5;0,08591;0,9963;6,0;9,2;4,2;10,1;90;5;0;0,0;soleggiato;7,27
Potenza;2025;1;6;0,10303;0,99468;8,0;8,4;4,4;13,2;76;5;0;0,0;soleggiato;6,63
Potenza;2025;1;7;0,12013;0,99276;8,4;4,9;5,0;13,1;81;5;0;0,1;pioggia;5,86
Potenza;2025;1;8;0,13719;0,99055;6,8;5,0;4,3;10,7;89;5;0;0,0;pioggia;5,64
Potenza;2025;1;9;0,1542;0,98804;7,1;2,2;4,3;9,1;93;6;0;0,8;pioggia;5,13
Potenza;2025;1;10;0,17118;0,98524;7,4;3,1;4,4;12,0;86;7;0;0,1;pioggia;4,94
Potenza;2025;1;11;0,1881;0,98215;7,2;4,1;1,2;10,5;95;4;0;36,2;pioggia neve;5,0
Potenza;2025;1;12;0,20497;0,97877;-0,1;1,9;-1,1;0,9;96;8;0;40,3;pioggia neve;5,07
Potenza;2025;1;13;0,22177;0,9751;-0,2;1,2;-1,2;0,4;97;6;0;10,6;pioggia neve;4,93
Potenza;2025;1;14;0,23851;0,97114;1,0;4,9;-0,2;2,5;95;6;0;2,5;pioggia neve;5,27
Potenza;2025;1;15;0,25518;0,96689;1,5;8,2;0,1;3,3;89;3;0;1,0;pioggia neve;6,3
Potenza;2025;1;16;0,27178;0,96236;3,0;8,9;0,3;5,1;94;4;0;2,9;pioggia neve;6,27
Potenza;2025;1;17;0,28829;0,95754;4,2;10,2;3,3;5,1;96;6;0;6,2;pioggia;6,56
Potenza;2025;1;18;0,30472;0,95244;5,9;10,2;4,6;7,2;98;4;0;11,1;pioggia;6,54
Potenza;2025;1;19;0,32106;0,94706;6,1;9,3;4,1;9,7;92;3;0;0,0;soleggiato;6,24
Potenza;2025;1;20;0,3373;0,9414;6,2;-0,2;3,5;9,3;90;2;0;0,1;pioggia;4,54
Potenza;2025;1;21;0,35344;0,93546;5,1;-1,0;2,7;8,4;93;4;0;5,2;pioggia;5,09
Potenza;2025;1;22;0,36948;0,92924;5,7;2,7;1,5;9,4;86;3;0;0,6;pioggia;4,98
Potenza;2025;1;23;0,38541;0,92274;7,9;4,5;3,6;14,3;75;4;0;0,0;pioggia;5,22
Potenza;2025;1;24;0,40123;0,91598;7,1;6,2;3,8;12,9;86;3;0;0,0;soleggiato;5,55
Potenza;2025;1;25;0,41693;0,90894;7,1;6,5;3,3;14,0;83;3;0;0,0;soleggiato;5,62
Potenza;2025;1;26;0,4325;0,90163;7,2;8,7;4,3;11,9;78;5;0;0,0;soleggiato;5,88
Potenza;2025;1;27;0,44794;0,89406;6,9;6,0;3,1;11,5;79;5;0;0,0;soleggiato;5,51
Potenza;2025;1;28;0,46326;0,88622;8,2;3,8;3,0;14,3;79;6;0;1,7;pioggia;5,36
Potenza;2025;1;29;0,47843;0,87812;5,1;3,9;1,6;7,6;87;3;0;4,0;pioggia;5,38
Potenza;2025;1;30;0,49347;0,86976;5,4;3,8;1,5;10,1;84;3;0;0,9;pioggia;5,55
Potenza;2025;1;31;0,50836;0,86115;5,3;5,6;0,0;12,3;72;2;0;0,0;soleggiato;5,72
Potenza;2025;2;1;0,52309;0,85227;6,9;5,0;1,9;11,7;80;3;0;0,1;pioggia;5,66
Potenza;2025;2;2;0,53768;0,84315;6,7;3,8;4,2;8,8;96;3;0;8,6;pioggia;5,86
Potenza;2025;2;3;0,5521;0,83378;6,9;7,0;5,2;9,1;94;3;0;6,0;pioggia;6,08
Potenza;2025;2;4;0,56636;0,82416;4,3;8,6;1,6;7,5;88;4;0;0,3;pioggia;6,38
Potenza;2025;2;5;0,58045;0,81429;3,0;8,6;-0,2;7,2;88;3;0;0,0;pioggia;6,18
Potenza;2025;2;6;0,59438;0,80419;3,4;8,1;-1,0;8,3;87;3;0;0,0;pioggia;6,17
Potenza;2025;2;7;0,60812;0,79384;6,0;8,4;2,0;9,8;87;4;0;0,6;pioggia;6,21
Potenza;2025;2;8;0,62169;0,78327;6,2;7,4;4,2;8,5;92;4;0;2,2;pioggia;5,91
